,DRAFT1auth.098.001.04 SecuritisationNonAssetBackedCommercialPaperSignificantEventInvestorReportV01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MESSAGE ITEM,,,,,,,,,,,Field number,Item type,RTS Field code,RTS Field name,Validation rules,Pattern,OR,XML TAG,MULTIPLICITY,"MESSAGE
COMPONENT",DATA TYPE / CODE,CODE VALUE,MESSAGE ITEM DEFINITION,PATH,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,SecuritisationNonAssetBackedCommercialPaperSignificantEventInvestorReportV01,,,,,,,,,,,,P,,,,,,<ScrtstnNonAsstBckdComrclPprSgnfcntEvtInvstrRpt>,[1..1],SecuritisationNonAssetBackedCommercialPaperSignificantEventInvestorReportV01,,,"The SecuritisationNonAssetBackedCommercialPaperSignificantEventInvestorReport message is sent by the reporting agent to the securitisation repositories, to report significant events and information to investor in relation with the securitisation.",/Document/ScrtstnNonAsstBckdComrclPprSgnfcntEvtInvstrRpt,,,
7,,,NewCorrection,,,,,,,,,,,P,,,,,,<NewCrrctn>,[0..1],NewCorrectionSignificantEventInvestorReport1,,,"For significant event, stores a new report. For investor report, either it stores a new report or if the identification and the data cut off date already exist, it replaces the old report with the new one.",/Document/ScrtstnNonAsstBckdComrclPprSgnfcntEvtInvstrRpt/NewCrrctn,,,
8,,,,SecuritisationIdentifier,,,,,,,,,2,E,"SESS1
SESO1
SESI1
SESV1
SESL1
SESC1
SESP1
SESA1
SEST1
IVSF1
IVSR1
IVSS1",Unique Identifier,"1) For Cancel, must be an existing securitisation
2) The pattern is imposed at XSD level","xs:string
Pattern: [A-Z0-9]{18,18}[0-9]{2,2}[N]{1,1}[0-9]{4,4}[0-9]{2,2}
",,<ScrtstnIdr>,[1..1],,SecuritisationIdentifier,,The unique identifier assigned by the reporting entity in accordance with Article 11(1) of Delegated Regulation (EU) …/… [include number of the disclosure RTS].,/Document/ScrtstnNonAsstBckdComrclPprSgnfcntEvtInvstrRpt/NewCrrctn/ScrtstnIdr,,,
9,,,,CutOffDate,,,,,,,,,3,E,"SESS2
IVSS2",Data Cut-Off Date,"1) Must be in the past
2) When submitted with an Underlying Exposure Report, this date much be equal to the equivalent date of the Underlying Exposure","xs:date
",,<CutOffDt>,[1..1],,ISODate,,"The data cut-off date for this data submission. When submitted alongside an underlying exposures and investor report data submission, this must match the data cut-off date in the applicable underlying exposure and investor report templates submitted.",/Document/ScrtstnNonAsstBckdComrclPprSgnfcntEvtInvstrRpt/NewCrrctn/CutOffDt,,,
10,,,,Securitisation,,,,,,,,,,P,,,,,,<Scrtstn>,[1..1],Securitisation3,,,Non ABCP Securitisation.,/Document/ScrtstnNonAsstBckdComrclPprSgnfcntEvtInvstrRpt/NewCrrctn/Scrtstn,,,
11,,,,,InsideInformationOrSignificantEvent,,,,,,,,,P,,,,,,<InsdInfOrSgnfcntEvt>,[0..1],SecuritisationDetails1,,,Inside Information or Significant Event.,/Document/ScrtstnNonAsstBckdComrclPprSgnfcntEvtInvstrRpt/NewCrrctn/Scrtstn/InsdInfOrSgnfcntEvt,,,
12,,,,,,RegulatoryData,,,,,,,,P,,,,,,<RgltryData>,[1..1],RegulatoryData1,,,Regulatory information.,/Document/ScrtstnNonAsstBckdComrclPprSgnfcntEvtInvstrRpt/NewCrrctn/Scrtstn/InsdInfOrSgnfcntEvt/RgltryData,,,
13,,,,,,,NoLongerSTS,,,,,,,P,SESS3,No Longer STS,,,,<NoLngrSTS>,[1..1],YesNoIndicator2Choice,,,"Indicates whether the securitisation ceased to meet STS requirements.
If the securitisation has never had STS status, then enter ND5.",/Document/ScrtstnNonAsstBckdComrclPprSgnfcntEvtInvstrRpt/NewCrrctn/Scrtstn/InsdInfOrSgnfcntEvt/RgltryData/NoLngrSTS,,,
