V1 BASELINE (pinned)               cells whose repeats DISAGREE:  11/176  (6.2%)
      Q1.3       alderbridge  production   ['CORRECT', 'SAFE_REFUSAL']
      Q3.3       alderbridge  production   ['CORRECT', 'SAFE_REFUSAL']
      Q4.4       alderbridge  production   ['CORRECT', 'SAFE_REFUSAL']
      Q1.3       alderbridge  forced_llm   ['CORRECT', 'SAFE_REFUSAL']
      Q1.3       kestrelmoor  production   ['CORRECT', 'SAFE_REFUSAL']
      Q3.4       kestrelmoor  production   ['CORRECT', 'SAFE_REFUSAL']
      Q4.4       kestrelmoor  production   ['CORRECT', 'SAFE_REFUSAL']
      Q1.3       kestrelmoor  forced_llm   ['CORRECT', 'SAFE_REFUSAL']
      Q3.3       kestrelmoor  forced_llm   ['CORRECT', 'SAFE_REFUSAL']
      Q3.4       kestrelmoor  forced_llm   ['CORRECT', 'SAFE_REFUSAL']
      Q4.4       kestrelmoor  forced_llm   ['CORRECT', 'SAFE_REFUSAL']

BEFORE D4                          cells whose repeats DISAGREE:  10/176  (5.7%)
      Q1.3       alderbridge  production   ['CORRECT', 'SAFE_REFUSAL']
      Q3.4       alderbridge  production   ['CORRECT', 'SAFE_REFUSAL']
      Q4.4       alderbridge  forced_llm   ['CORRECT', 'SAFE_REFUSAL']
      Q6.3       alderbridge  forced_llm   ['CORRECT', 'SAFE_REFUSAL']
      Q1.3       kestrelmoor  production   ['CORRECT', 'SAFE_REFUSAL']
      Q3.3       kestrelmoor  production   ['CORRECT', 'SAFE_REFUSAL']
      Q3.4       kestrelmoor  production   ['CORRECT', 'SAFE_REFUSAL']
      Q6.3       kestrelmoor  production   ['CORRECT', 'SAFE_REFUSAL']
      Q3.4       kestrelmoor  forced_llm   ['CORRECT', 'SAFE_REFUSAL']
      Q4.4       kestrelmoor  forced_llm   ['CORRECT', 'SAFE_REFUSAL']

AFTER D4                           cells whose repeats DISAGREE:   3/176  (1.7%)
      Q3.4       alderbridge  production   ['CORRECT', 'SAFE_REFUSAL']
      Q3.4       kestrelmoor  production   ['CORRECT', 'SAFE_REFUSAL']
      Q3.4       kestrelmoor  forced_llm   ['CORRECT', 'SAFE_REFUSAL']

