Underlying Exposure Identifier,Loan Identifier,Unique Loan Identifier,Original Underlying Exposure Identifier,Original Obligor Identifier,New Underlying Exposure Identifier,New Obligor Identifier,Origination Dt,Maturity DATE,Original Principal Balance,Current Principal Balance GBP,Current Interest Rate,Original Loan To Value,Current Loan To Value,Current Valuation Amount,Current Valuation Date,Current Valuation Method,Post Code,Region ,Property Type ,tenure,Borrower Age (Youngest),Account Status,Redemption Date,Data Cut-Off Date,Interest Rate Type,Occupancy Type,Amortisation Type,Origination Channel,Purpose,Total Credit Limit,Number of Days in Arrears,Exposure Currency Denomination,Pool Addition Date,Date of Repurchase,Purchase Price,Arrears Balance,Default Amount,Default Date,Allocated Losses,Cumulative Recoveries,Litigation,Deposit Amount,Collateral Currency,Collateral Type,Original Collateral Identifier,New Collateral Identifier,Scheduled Principal Payment Frequency,Scheduled Interest Payment Frequency,Payment Due,Current Interest Rate Index,Current Interest Rate Index Tenor,Current Interest Rate Margin,Interest Rate Reset Interval,Interest Rate Cap,Interest Rate Floor,Prepayment Fee,Principal Grace Period End Date,Credit Impaired Obligor,Resident,Geographic Region Obligor,Employment Status
ACQUIRED-0001,ACQUIRED-0001,SYN-ACQUIRED-0001,ACQUIRED-0001,OBO-ACQUIRED-0001,ACQUIRED-0001-N,OBL-ACQUIRED-0001,30/06/2022,30/06/2037,"354,206.25", £474785.62 ,7.347,0.3177,0.3869,"1,227,229",30/06/2026,Full survey,SW1A 1AA,London,Detached House,LEASEHOLD,67,Active,,30/06/2026,Fixed,Owner Occupied,Interest roll-up,Broker,Debt Consolidation,"371,916.56",0,GBP,30/09/2024,,"1,115,000",0,0,,0,0,N,0,GBP,residential property,ACQUIRED-0001-COLL-O,ACQUIRED-0001-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/12/2026,N,Y,London,Employed
ACQUIRED-0002,ACQUIRED-0002,SYN-ACQUIRED-0002,ACQUIRED-0002,OBO-ACQUIRED-0002,ACQUIRED-0002-N,OBL-ACQUIRED-0002,30/05/2023,30/05/2046,"111,815.83", £140022.94 ,7.318,0.26,0.3024,"462,993",30/06/2026,Full survey,LS1 4AP,Yorkshire and The Humber,Bungalow,Freehold,64,Active,,30/06/2026,Fixed,Owner Occupied,Interest roll-up,Broker,Purchase Main Residence,"117,406.62",0,GBP,30/09/2024,,"430,000",0,0,,0,0,N,0,GBP,residential property,ACQUIRED-0002-COLL-O,ACQUIRED-0002-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/12/2026,N,Y,Yorkshire and The Humber,Retired
ACQUIRED-0003,ACQUIRED-0003,SYN-ACQUIRED-0003,ACQUIRED-0003,OBO-ACQUIRED-0003,ACQUIRED-0003-N,OBL-ACQUIRED-0003,30/09/2018,30/09/2036,"173,594.25", £285856.04 ,6.453,0.3472,0.4748,"602,099",30/06/2026,Full survey,M1 1AE,North West,Flat / Apartment,LEASEHOLD,70,Active,,30/06/2026,Fixed,Owner Occupied,Interest roll-up,Broker,Debt Consolidation,"182,273.96",0,GBP,30/09/2024,,"500,000",0,0,,0,0,N,0,GBP,residential property,ACQUIRED-0003-COLL-O,ACQUIRED-0003-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/12/2026,N,Y,North West,Employed
ACQUIRED-0004,ACQUIRED-0004,SYN-ACQUIRED-0004,ACQUIRED-0004,OBO-ACQUIRED-0004,ACQUIRED-0004-N,OBL-ACQUIRED-0004,30/10/2022,30/10/2039,"393,048.89", £525851.59 ,7.965,0.3262,0.3997,"1,315,730",30/06/2026,Full survey,CB2 1TN,East of England,Detached House,Freehold,65,Active,,30/06/2026,Fixed,Owner Occupied,Interest roll-up,Broker,Home improvements,"412,701.33",0,GBP,30/09/2024,,"1,205,000",0,0,,0,0,N,0,GBP,residential property,ACQUIRED-0004-COLL-O,ACQUIRED-0004-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/12/2026,N,Y,East of England,Retired
ACQUIRED-0005,ACQUIRED-0005,SYN-ACQUIRED-0005,ACQUIRED-0005,OBO-ACQUIRED-0005,ACQUIRED-0005-N,OBL-ACQUIRED-0005,30/10/2020,30/10/2039,"63,859.66", £102175.96 ,8.323,0.241,0.3366,"303,564",30/06/2026,AVM (desktop),SW1A 1AA,London,Semi Detached,Freehold,82,Active,,30/06/2026,Fixed,Owner Occupied,Interest roll-up,Broker,Home improvements,"67,052.64",0,GBP,30/09/2024,,"265,000",0,0,,0,0,N,0,GBP,residential property,ACQUIRED-0005-COLL-O,ACQUIRED-0005-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/12/2026,N,Y,London,Retired
ACQUIRED-0006,ACQUIRED-0006,SYN-ACQUIRED-0006,ACQUIRED-0006,OBO-ACQUIRED-0006,ACQUIRED-0006-N,OBL-ACQUIRED-0006,30/03/2025,30/03/2039,"186,217.38", £207158.71 ,8.556,0.2165,0.2338,"886,164",30/06/2026,Full survey,LS1 4AP,Yorkshire and The Humber,Bungalow,Freehold,73,Active,,30/06/2026,Fixed,Owner Occupied,Interest roll-up,Broker,Debt Consolidation,"195,528.25",0,GBP,30/09/2024,,"860,000",0,0,,0,0,N,0,GBP,residential property,ACQUIRED-0006-COLL-O,ACQUIRED-0006-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/12/2026,N,Y,Yorkshire and The Humber,Self employed
ACQUIRED-0007,ACQUIRED-0007,SYN-ACQUIRED-0007,ACQUIRED-0007,OBO-ACQUIRED-0007,ACQUIRED-0007-N,OBL-ACQUIRED-0007,30/12/2019,30/12/2039,"340,947.71", £541245.16 ,7.131,0.3608,0.4901,"1,104,369",30/06/2026,Full survey,NG1 5FS,East Midlands,Semi Detached,Freehold,91,Active,,30/06/2026,Fixed,Owner Occupied,Interest roll-up,Broker,Home improvements,"357,995.10",0,GBP,30/09/2024,,"945,000",0,0,,0,0,N,0,GBP,residential property,ACQUIRED-0007-COLL-O,ACQUIRED-0007-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/12/2026,N,Y,East Midlands,Retired
ACQUIRED-0008,ACQUIRED-0008,SYN-ACQUIRED-0008,ACQUIRED-0008,OBO-ACQUIRED-0008,ACQUIRED-0008-N,OBL-ACQUIRED-0008,30/06/2022,30/06/2044,"242,596.62", £320432.58 ,6.977,0.2195,0.2635,"1,216,222",30/06/2026,Full survey,LS1 4AP,Yorkshire and The Humber,Bungalow,Freehold,63,Active,,30/06/2026,Fixed,Owner Occupied,Interest roll-up,Broker,Home improvements,"254,726.45",0,GBP,30/09/2024,,"1,105,000",0,0,,0,0,N,0,GBP,residential property,ACQUIRED-0008-COLL-O,ACQUIRED-0008-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/12/2026,N,Y,Yorkshire and The Humber,Retired
ACQUIRED-0009,ACQUIRED-0009,SYN-ACQUIRED-0009,ACQUIRED-0009,OBO-ACQUIRED-0009,ACQUIRED-0009-N,OBL-ACQUIRED-0009,30/11/2018,30/11/2039,"147,291.28", £274966.56 ,8.26,0.3466,0.5394,"509,743",30/06/2026,Full survey,NG1 5FS,East Midlands,Detached House,Freehold,75,Active,,30/06/2026,Fixed,Owner Occupied,Interest roll-up,Broker,Debt Consolidation,"154,655.84",0,GBP,30/09/2024,,"425,000",0,0,,0,0,N,0,GBP,residential property,ACQUIRED-0009-COLL-O,ACQUIRED-0009-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/12/2026,N,Y,East Midlands,Retired
ACQUIRED-0010,ACQUIRED-0010,SYN-ACQUIRED-0010,ACQUIRED-0010,OBO-ACQUIRED-0010,ACQUIRED-0010-N,OBL-ACQUIRED-0010,29/02/2024,28/02/2041,"270,978.67", £327479.30 ,8.144,0.2452,0.2802,"1,168,580",30/06/2026,Full survey,NG1 5FS,East Midlands,Flat / Apartment,LEASEHOLD,86,Active,,30/06/2026,Fixed,Owner Occupied,Interest roll-up,Broker,Home improvements,"284,527.60",0,GBP,30/09/2024,,"1,105,000",0,0,,0,0,N,0,GBP,residential property,ACQUIRED-0010-COLL-O,ACQUIRED-0010-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/12/2026,N,Y,East Midlands,Retired
ACQUIRED-0011,ACQUIRED-0011,SYN-ACQUIRED-0011,ACQUIRED-0011,OBO-ACQUIRED-0011,ACQUIRED-0011-N,OBL-ACQUIRED-0011,30/04/2022,30/04/2036,"319,505.39", £460822.48 ,8.822,0.4204,0.5487,"839,846",30/06/2026,Full survey,RG1 2DP,South East,Detached House,Freehold,73,Active,,30/06/2026,Fixed,Owner Occupied,Interest roll-up,Broker,Debt Consolidation,"335,480.66",0,GBP,30/09/2024,,"760,000",0,0,,0,0,N,0,GBP,residential property,ACQUIRED-0011-COLL-O,ACQUIRED-0011-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/12/2026,N,Y,South East,Retired
ACQUIRED-0012,ACQUIRED-0012,SYN-ACQUIRED-0012,ACQUIRED-0012,OBO-ACQUIRED-0012,ACQUIRED-0012-N,OBL-ACQUIRED-0012,30/03/2025,30/03/2045,"430,698.26", £480955.97 ,8.862,0.4025,0.4362,"1,102,553",30/06/2026,AVM (desktop),RG1 2DP,South East,Semi Detached,Freehold,72,Active,,30/06/2026,Fixed,Owner Occupied,Interest roll-up,Broker,Equity release,"452,233.17",0,GBP,30/09/2024,,"1,070,000",0,0,,0,0,N,0,GBP,residential property,ACQUIRED-0012-COLL-O,ACQUIRED-0012-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/12/2026,N,Y,South East,Retired
ACQUIRED-0013,ACQUIRED-0013,SYN-ACQUIRED-0013,ACQUIRED-0013,OBO-ACQUIRED-0013,ACQUIRED-0013-N,OBL-ACQUIRED-0013,30/11/2025,30/11/2048,"133,923.75", £140211.33 ,7.891,0.3348,0.3457,"405,634",30/06/2026,Full survey,EH1 1YZ,Scotland,Semi Detached,LEASEHOLD,60,Active,,30/06/2026,Fixed,Owner Occupied,Interest roll-up,Broker,Debt Consolidation,"140,619.94",0,GBP,30/09/2024,,"400,000",0,0,,0,0,N,0,GBP,residential property,ACQUIRED-0013-COLL-O,ACQUIRED-0013-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/12/2026,N,Y,Scotland,Retired
ACQUIRED-0014,ACQUIRED-0014,SYN-ACQUIRED-0014,ACQUIRED-0014,OBO-ACQUIRED-0014,ACQUIRED-0014-N,OBL-ACQUIRED-0014,30/06/2018,30/06/2037,"345,640.53", £562148.01 ,6.095,0.4489,0.6026,"932,807",30/06/2026,Full survey,CF10 1EP,Wales,Flat / Apartment,Freehold,75,Active,,30/06/2026,Fixed,Owner Occupied,Interest roll-up,Broker,Purchase Main Residence,"362,922.56",0,GBP,30/09/2024,,"770,000",0,0,,0,0,N,0,GBP,residential property,ACQUIRED-0014-COLL-O,ACQUIRED-0014-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/12/2026,N,Y,Wales,Retired
ACQUIRED-0015,ACQUIRED-0015,SYN-ACQUIRED-0015,ACQUIRED-0015,OBO-ACQUIRED-0015,ACQUIRED-0015-N,OBL-ACQUIRED-0015,30/12/2025,30/12/2040,"281,391.25", £290784.09 ,6.585,0.402,0.4105,"708,442",30/06/2026,Full survey,SW1A 1AA,London,Detached House,Freehold,85,Active,,30/06/2026,Fixed,Owner Occupied,Interest roll-up,Broker,Purchase Main Residence,"295,460.81",0,GBP,30/09/2024,,"700,000",0,0,,0,0,N,0,GBP,residential property,ACQUIRED-0015-COLL-O,ACQUIRED-0015-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/12/2026,N,Y,London,Retired
ACQUIRED-0016,ACQUIRED-0016,SYN-ACQUIRED-0016,ACQUIRED-0016,OBO-ACQUIRED-0016,ACQUIRED-0016-N,OBL-ACQUIRED-0016,30/01/2024,30/01/2041,"131,189.99", £159351.87 ,8.074,0.2572,0.2949,"540,423",30/06/2026,Full survey,M1 1AE,North West,Semi Detached,LEASEHOLD,76,Active,,30/06/2026,Fixed,Owner Occupied,Interest roll-up,Broker,Debt Consolidation,"137,749.49",0,GBP,30/09/2024,,"510,000",0,0,,0,0,N,0,GBP,residential property,ACQUIRED-0016-COLL-O,ACQUIRED-0016-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/12/2026,N,Y,North West,Retired
ACQUIRED-0017,ACQUIRED-0017,SYN-ACQUIRED-0017,ACQUIRED-0017,OBO-ACQUIRED-0017,ACQUIRED-0017-N,OBL-ACQUIRED-0017,30/08/2019,30/08/2042,"497,281.07", £843458.93 ,7.757,0.4076,0.5869,"1,437,186",30/06/2026,Full survey,EH1 1YZ,Scotland,Flat / Apartment,Freehold,66,Active,,30/06/2026,Fixed,Owner Occupied,Interest roll-up,Broker,Home improvements,"522,145.12",0,GBP,30/09/2024,,"1,220,000",0,0,,0,0,N,0,GBP,residential property,ACQUIRED-0017-COLL-O,ACQUIRED-0017-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/12/2026,N,Y,Scotland,Employed
ACQUIRED-0018,ACQUIRED-0018,SYN-ACQUIRED-0018,ACQUIRED-0018,OBO-ACQUIRED-0018,ACQUIRED-0018-N,OBL-ACQUIRED-0018,30/12/2020,30/12/2038,"289,974.97", £438668.39 ,7.55,0.3152,0.4179,"1,049,681",30/06/2026,Full survey,SW1A 1AA,London,Flat / Apartment,LEASEHOLD,77,Active,,30/06/2026,Fixed,Owner Occupied,Interest roll-up,Broker,Home improvements,"304,473.72",0,GBP,30/09/2024,,"920,000",0,0,,0,0,N,0,GBP,residential property,ACQUIRED-0018-COLL-O,ACQUIRED-0018-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/12/2026,N,Y,London,Retired
ACQUIRED-0019,ACQUIRED-0019,SYN-ACQUIRED-0019,ACQUIRED-0019,OBO-ACQUIRED-0019,ACQUIRED-0019-N,OBL-ACQUIRED-0019,30/09/2022,30/09/2048,"95,716.87", £125775.89 ,7.305,0.4351,0.5225,"240,697",30/06/2026,AVM (desktop),EH1 1YZ,Scotland,Bungalow,Freehold,74,Active,,30/06/2026,Fixed,Owner Occupied,Interest roll-up,Broker,Equity release,"100,502.71",0,GBP,30/09/2024,,"220,000",0,0,,0,0,N,0,GBP,residential property,ACQUIRED-0019-COLL-O,ACQUIRED-0019-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/12/2026,N,Y,Scotland,Retired
