Underlying Exposure Identifier,Loan Identifier,Unique Loan Identifier,Original Underlying Exposure Identifier,Original Obligor Identifier,New Underlying Exposure Identifier,New Obligor Identifier,Origination Dt,Maturity DATE,Original Principal Balance,Current Principal Balance GBP,Current Interest Rate,Original Loan To Value,Current Loan To Value,Current Valuation Amount,Current Valuation Date,Current Valuation Method,Post Code,Region ,Property Type ,tenure,Borrower Age (Youngest),Account Status,Redemption Date,Data Cut-Off Date,Interest Rate Type,Occupancy Type,Amortisation Type,Origination Channel,Purpose,Total Credit Limit,Number of Days in Arrears,Exposure Currency Denomination,Pool Addition Date,Date of Repurchase,Purchase Price,Arrears Balance,Default Amount,Default Date,Allocated Losses,Cumulative Recoveries,Litigation,Deposit Amount,Collateral Currency,Collateral Type,Original Collateral Identifier,New Collateral Identifier,Scheduled Principal Payment Frequency,Scheduled Interest Payment Frequency,Payment Due,Current Interest Rate Index,Current Interest Rate Index Tenor,Current Interest Rate Margin,Interest Rate Reset Interval,Interest Rate Cap,Interest Rate Floor,Prepayment Fee,Principal Grace Period End Date,Credit Impaired Obligor,Resident,Geographic Region Obligor,Employment Status
ORIGINATION-0001,ORIGINATION-0001,SYN-ORIGINATION-0001,ORIGINATION-0001,OBO-ORIGINATION-0001,ORIGINATION-0001-N,OBL-ORIGINATION-0001,30/07/2024,30/07/2047,"347,145.65", £392704.51 ,6.451,0.3454,0.3732,"1,052,261",30/06/2026,Full survey,RG1 2DP,South East,Detached House,Freehold,63,Active,,30/06/2026,Fixed,Owner Occupied,Interest roll-up,Direct,Purchase Main Residence,"364,502.93",0,GBP,30/07/2024,,"1,005,000",0,0,,0,0,N,0,GBP,residential property,ORIGINATION-0001-COLL-O,ORIGINATION-0001-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/12/2026,N,Y,South East,SFEM
ORIGINATION-0002,ORIGINATION-0002,SYN-ORIGINATION-0002,ORIGINATION-0002,OBO-ORIGINATION-0002,ORIGINATION-0002-N,OBL-ORIGINATION-0002,28/02/2019,28/02/2043,"182,396.61", £298479.92 ,6.735,0.2764,0.3793,"786,871",30/06/2026,Full survey,BS1 5AH,South West,Semi Detached,Freehold,81,Active,,30/06/2026,Fixed,Owner Occupied,Interest roll-up,Direct,Home improvements,"191,516.44",0,GBP,28/02/2019,,"660,000",0,0,,0,0,N,0,GBP,residential property,ORIGINATION-0002-COLL-O,ORIGINATION-0002-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/12/2026,N,Y,South West,SFEM
ORIGINATION-0003,ORIGINATION-0003,SYN-ORIGINATION-0003,ORIGINATION-0003,OBO-ORIGINATION-0003,ORIGINATION-0003-N,OBL-ORIGINATION-0003,30/03/2022,30/03/2045,"169,264.87", £221470.64 ,6.342,0.2545,0.3008,"736,335",30/06/2026,Full survey,SW1A 1AA,London,Detached House,LEASEHOLD,79,Active,,30/06/2026,Fixed,Owner Occupied,Interest roll-up,Direct,Equity release,"177,728.11",0,GBP,30/03/2022,,"665,000",0,0,,0,0,N,0,GBP,residential property,ORIGINATION-0003-COLL-O,ORIGINATION-0003-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/12/2026,N,Y,London,EMUK
ORIGINATION-0004,ORIGINATION-0004,SYN-ORIGINATION-0004,ORIGINATION-0004,OBO-ORIGINATION-0004,ORIGINATION-0004-N,OBL-ORIGINATION-0004,30/05/2024,30/05/2039,"338,754.78", £391085.22 ,6.915,0.3871,0.4252,"919,816",30/06/2026,Full survey,CB2 1TN,East of England,Flat / Apartment,Freehold,66,Active,,30/06/2026,Fixed,Owner Occupied,Interest roll-up,Direct,Purchase Main Residence,"355,692.52",0,GBP,30/05/2024,,"875,000",0,0,,0,0,N,0,GBP,residential property,ORIGINATION-0004-COLL-O,ORIGINATION-0004-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/12/2026,N,Y,East of England,SFEM
ORIGINATION-0005,ORIGINATION-0005,SYN-ORIGINATION-0005,ORIGINATION-0005,OBO-ORIGINATION-0005,ORIGINATION-0005-N,OBL-ORIGINATION-0005,30/04/2024,30/04/2048,"185,712.92", £222829.55 ,8.439,0.302,0.344,"647,792",30/06/2026,Full survey,CB2 1TN,East of England,Semi Detached,LEASEHOLD,70,Active,,30/06/2026,Fixed,Owner Occupied,Interest roll-up,Direct,Home improvements,"194,998.57",0,GBP,30/04/2024,,"615,000",0,0,,0,0,N,0,GBP,residential property,ORIGINATION-0005-COLL-O,ORIGINATION-0005-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/12/2026,N,Y,East of England,PNNR
ORIGINATION-0006,ORIGINATION-0006,SYN-ORIGINATION-0006,ORIGINATION-0006,OBO-ORIGINATION-0006,ORIGINATION-0006-N,OBL-ORIGINATION-0006,30/08/2020,30/08/2045,"134,017.50", £212272.95 ,7.91,0.3191,0.4394,"483,047",30/06/2026,Full survey,EH1 1YZ,Scotland,Flat / Apartment,Freehold,69,Active,,30/06/2026,Fixed,Owner Occupied,Interest roll-up,Direct,Home improvements,"140,718.38",0,GBP,30/08/2020,,"420,000",0,0,,0,0,N,0,GBP,residential property,ORIGINATION-0006-COLL-O,ORIGINATION-0006-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/12/2026,N,Y,Scotland,PNNR
ORIGINATION-0007,ORIGINATION-0007,SYN-ORIGINATION-0007,ORIGINATION-0007,OBO-ORIGINATION-0007,ORIGINATION-0007-N,OBL-ORIGINATION-0007,30/04/2021,30/04/2040,"295,755.79", £430188.26 ,7.274,0.4658,0.5985,"718,741",30/06/2026,Full survey,CB2 1TN,East of England,Bungalow,Freehold,74,Active,,30/06/2026,Fixed,Owner Occupied,Interest roll-up,Direct,Equity release,"310,543.58",0,GBP,30/04/2021,,"635,000",0,0,,0,0,N,0,GBP,residential property,ORIGINATION-0007-COLL-O,ORIGINATION-0007-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/12/2026,N,Y,East of England,PNNR
ORIGINATION-0008,ORIGINATION-0008,SYN-ORIGINATION-0008,ORIGINATION-0008,OBO-ORIGINATION-0008,ORIGINATION-0008-N,OBL-ORIGINATION-0008,30/04/2019,30/04/2044,"165,351.95", £260815.49 ,6.376,0.3211,0.4265,"611,549",30/06/2026,Full survey,CB2 1TN,East of England,Bungalow,Freehold,82,Active,,30/06/2026,Fixed,Owner Occupied,Interest roll-up,Direct,Equity release,"173,619.55",0,GBP,30/04/2019,,"515,000",0,0,,0,0,N,0,GBP,residential property,ORIGINATION-0008-COLL-O,ORIGINATION-0008-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/12/2026,N,Y,East of England,SFEM
ORIGINATION-0009,ORIGINATION-0009,SYN-ORIGINATION-0009,ORIGINATION-0009,OBO-ORIGINATION-0009,ORIGINATION-0009-N,OBL-ORIGINATION-0009,30/10/2021,30/10/2036,"371,671.87", £540862.62 ,8.066,0.3246,0.4224,"1,280,554",30/06/2026,Full survey,BS1 5AH,South West,Flat / Apartment,Freehold,80,Active,,30/06/2026,Fixed,Owner Occupied,Interest roll-up,Direct,Purchase Main Residence,"390,255.46",0,GBP,30/10/2021,,"1,145,000",0,0,,0,0,N,0,GBP,residential property,ORIGINATION-0009-COLL-O,ORIGINATION-0009-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/12/2026,N,Y,South West,PNNR
ORIGINATION-0010,ORIGINATION-0010,SYN-ORIGINATION-0010,ORIGINATION-0010,OBO-ORIGINATION-0010,ORIGINATION-0010-N,OBL-ORIGINATION-0010,30/01/2022,30/01/2036,"156,594.25", £228587.15 ,8.595,0.4474,0.5875,"389,096",30/06/2026,Full survey,NG1 5FS,East Midlands,Bungalow,Freehold,76,Active,,30/06/2026,Fixed,Owner Occupied,Interest roll-up,Direct,Debt Consolidation,"164,423.96",0,GBP,30/01/2022,,"350,000",0,0,,0,0,N,0,GBP,residential property,ORIGINATION-0010-COLL-O,ORIGINATION-0010-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/12/2026,N,Y,East Midlands,SFEM
