Underlying Exposure Identifier,Loan Identifier,Unique Loan Identifier,Original Underlying Exposure Identifier,Original Obligor Identifier,New Underlying Exposure Identifier,New Obligor Identifier,Origination Dt,Maturity DATE,Original Principal Balance,Current Principal Balance GBP,Current Interest Rate,Original Loan To Value,Current Loan To Value,Current Valuation Amount,Current Valuation Date,Current Valuation Method,Post Code,Region ,Property Type ,tenure,Borrower Age (Youngest),Account Status,Redemption Date,Data Cut-Off Date,Interest Rate Type,Occupancy Type,Amortisation Type,Origination Channel,Purpose,Total Credit Limit,Number of Days in Arrears,Exposure Currency Denomination,Pool Addition Date,Date of Repurchase,Purchase Price,Arrears Balance,Default Amount,Default Date,Allocated Losses,Cumulative Recoveries,Litigation,Deposit Amount,Collateral Currency,Collateral Type,Original Collateral Identifier,New Collateral Identifier,Scheduled Principal Payment Frequency,Scheduled Interest Payment Frequency,Payment Due,Current Interest Rate Index,Current Interest Rate Index Tenor,Current Interest Rate Margin,Interest Rate Reset Interval,Interest Rate Cap,Interest Rate Floor,Prepayment Fee,Principal Grace Period End Date,Credit Impaired Obligor,Resident,Geographic Region Obligor,Employment Status
ACQUIRED-0001,ACQUIRED-0001,SYN-ACQUIRED-0001,ACQUIRED-0001,OBO-ACQUIRED-0001,ACQUIRED-0001-N,OBL-ACQUIRED-0001,30/06/2022,30/06/2037,"354,206.25", £471896.44 ,7.347,0.3177,0.3853,"1,224,779",31/05/2026,Full survey,SW1A 1AA,London,Detached House,LEASEHOLD,67,Active,,31/05/2026,Fixed,Owner Occupied,Interest roll-up,Broker,Debt Consolidation,"371,916.56",0,GBP,30/09/2024,,"1,115,000",0,0,,0,0,N,0,GBP,residential property,ACQUIRED-0001-COLL-O,ACQUIRED-0001-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/11/2026,N,Y,London,EMUK
ACQUIRED-0002,ACQUIRED-0002,SYN-ACQUIRED-0002,ACQUIRED-0002,OBO-ACQUIRED-0002,ACQUIRED-0002-N,OBL-ACQUIRED-0002,30/05/2023,30/05/2046,"111,815.83", £139174.21 ,7.318,0.26,0.3012,"462,069",31/05/2026,Full survey,LS1 4AP,Yorkshire and The Humber,Bungalow,Freehold,64,Active,,31/05/2026,Fixed,Owner Occupied,Interest roll-up,Broker,Purchase Main Residence,"117,406.62",0,GBP,30/09/2024,,"430,000",0,0,,0,0,N,0,GBP,residential property,ACQUIRED-0002-COLL-O,ACQUIRED-0002-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/11/2026,N,Y,Yorkshire and The Humber,PNNR
ACQUIRED-0003,ACQUIRED-0003,SYN-ACQUIRED-0003,ACQUIRED-0003,OBO-ACQUIRED-0003,ACQUIRED-0003-N,OBL-ACQUIRED-0003,30/09/2018,30/09/2036,"173,594.25", £284327.07 ,6.453,0.3472,0.4732,"600,897",31/05/2026,Full survey,M1 1AE,North West,Flat / Apartment,LEASEHOLD,70,Active,,31/05/2026,Fixed,Owner Occupied,Interest roll-up,Broker,Debt Consolidation,"182,273.96",0,GBP,30/09/2024,,"500,000",0,0,,0,0,N,0,GBP,residential property,ACQUIRED-0003-COLL-O,ACQUIRED-0003-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/11/2026,N,Y,North West,EMUK
ACQUIRED-0004,ACQUIRED-0004,SYN-ACQUIRED-0004,ACQUIRED-0004,OBO-ACQUIRED-0004,ACQUIRED-0004-N,OBL-ACQUIRED-0004,30/10/2022,30/10/2039,"393,048.89", £522384.27 ,7.965,0.3262,0.3978,"1,313,104",31/05/2026,Full survey,CB2 1TN,East of England,Detached House,Freehold,65,Active,,31/05/2026,Fixed,Owner Occupied,Interest roll-up,Broker,Home improvements,"412,701.33",0,GBP,30/09/2024,,"1,205,000",0,0,,0,0,N,0,GBP,residential property,ACQUIRED-0004-COLL-O,ACQUIRED-0004-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/11/2026,N,Y,East of England,PNNR
ACQUIRED-0005,ACQUIRED-0005,SYN-ACQUIRED-0005,ACQUIRED-0005,OBO-ACQUIRED-0005,ACQUIRED-0005-N,OBL-ACQUIRED-0005,30/10/2020,30/10/2039,"63,859.66", £101472.17 ,8.323,0.241,0.3349,"302,959",31/05/2026,Full survey,SW1A 1AA,London,Semi Detached,Freehold,82,Active,,31/05/2026,Fixed,Owner Occupied,Interest roll-up,Broker,Home improvements,"67,052.64",0,GBP,30/09/2024,,"265,000",0,0,,0,0,N,0,GBP,residential property,ACQUIRED-0005-COLL-O,ACQUIRED-0005-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/11/2026,N,Y,London,PNNR
ACQUIRED-0006,ACQUIRED-0006,SYN-ACQUIRED-0006,ACQUIRED-0006,OBO-ACQUIRED-0006,ACQUIRED-0006-N,OBL-ACQUIRED-0006,30/03/2025,30/03/2039,"186,217.38", £205692.13 ,8.556,0.2165,0.2326,"884,396",31/05/2026,Full survey,LS1 4AP,Yorkshire and The Humber,Bungalow,Freehold,73,Active,,31/05/2026,Fixed,Owner Occupied,Interest roll-up,Broker,Debt Consolidation,"195,528.25",0,GBP,30/09/2024,,"860,000",0,0,,0,0,N,0,GBP,residential property,ACQUIRED-0006-COLL-O,ACQUIRED-0006-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/11/2026,N,Y,Yorkshire and The Humber,SFEM
ACQUIRED-0007,ACQUIRED-0007,SYN-ACQUIRED-0007,ACQUIRED-0007,OBO-ACQUIRED-0007,ACQUIRED-0007-N,OBL-ACQUIRED-0007,30/12/2019,30/12/2039,"340,947.71", £538047.81 ,7.131,0.3608,0.4882,"1,102,164",31/05/2026,Full survey,NG1 5FS,East Midlands,Semi Detached,Freehold,91,Active,,31/05/2026,Fixed,Owner Occupied,Interest roll-up,Broker,Home improvements,"357,995.10",0,GBP,30/09/2024,,"945,000",0,0,,0,0,N,0,GBP,residential property,ACQUIRED-0007-COLL-O,ACQUIRED-0007-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/11/2026,N,Y,East Midlands,PNNR
ACQUIRED-0008,ACQUIRED-0008,SYN-ACQUIRED-0008,ACQUIRED-0008,OBO-ACQUIRED-0008,ACQUIRED-0008-N,OBL-ACQUIRED-0008,30/06/2022,30/06/2044,"242,596.62", £318580.30 ,6.977,0.2195,0.2625,"1,213,795",31/05/2026,Full survey,LS1 4AP,Yorkshire and The Humber,Bungalow,Freehold,63,Active,,31/05/2026,Fixed,Owner Occupied,Interest roll-up,Broker,Home improvements,"254,726.45",0,GBP,30/09/2024,,"1,105,000",0,0,,0,0,N,0,GBP,residential property,ACQUIRED-0008-COLL-O,ACQUIRED-0008-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/11/2026,N,Y,Yorkshire and The Humber,PNNR
ACQUIRED-0009,ACQUIRED-0009,SYN-ACQUIRED-0009,ACQUIRED-0009,OBO-ACQUIRED-0009,ACQUIRED-0009-N,OBL-ACQUIRED-0009,30/11/2018,30/11/2039,"147,291.28", £273086.81 ,8.26,0.3466,0.5368,"508,726",31/05/2026,Full survey,NG1 5FS,East Midlands,Detached House,Freehold,75,Active,,31/05/2026,Fixed,Owner Occupied,Interest roll-up,Broker,Debt Consolidation,"154,655.84",0,GBP,30/09/2024,,"425,000",0,0,,0,0,N,0,GBP,residential property,ACQUIRED-0009-COLL-O,ACQUIRED-0009-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/11/2026,N,Y,East Midlands,PNNR
ACQUIRED-0010,ACQUIRED-0010,SYN-ACQUIRED-0010,ACQUIRED-0010,OBO-ACQUIRED-0010,ACQUIRED-0010-N,OBL-ACQUIRED-0010,29/02/2024,28/02/2041,"270,978.67", £325271.79 ,8.144,0.2452,0.2789,"1,166,248",31/05/2026,Full survey,NG1 5FS,East Midlands,Flat / Apartment,LEASEHOLD,86,Active,,31/05/2026,Fixed,Owner Occupied,Interest roll-up,Broker,Home improvements,"284,527.60",0,GBP,30/09/2024,,"1,105,000",0,0,,0,0,N,0,GBP,residential property,ACQUIRED-0010-COLL-O,ACQUIRED-0010-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/11/2026,N,Y,East Midlands,PNNR
