RREL69,RREL73,RREL67,RREC22,RREC5,RREL14,RREL74,RREL43,RREL44,RREL45,RREL46,RREL30,RREL6,RREL8,RREL71,RREL72,RREL77,RREL28,RREL48,RREL49,RREL47,RREL42,RREL75,RREL24,RREC4,RREL5,RREL3,RREL68,RREC3,RREL4,RREL2,RREL84,RREL83,RREL82,RREL39,RREL7,RREL61,RREL36,RREC9,RREL34,RREL9,RREC21,RREL38,RREL37,RREL33,RREC2,RREL1,RREL35,RREL41,RREL64,RREC12,RREC13,RREC15,RREC14,RREL15,RREL66,RREL65,RREC20,RREL40,RREL13,RREC11,RREC10,RREL12,RREC6,RREL11,RREC23,RREL78,RREL51,RREL53,RREL55,RREC8,RREL58,RREC7,RREL81,RREL80,RREL79,RREC16,RREL29,RREL25,RREC17,RREC19,RREC18,RREL26,RREL23,RREL32,RREL59,RREL63,RREL62,RREL60,RREL16,RREL18,RREL17,RREL19,RREL31,RREL27,RREL70,RREL76,RREL10,RREL56,RREL57,RREL50,RREL52,RREL54,RREL22
Active,0,0,GBP,manual,N,0,7.108,SONIA,1M,0,177334.06,2026-01-31,2025-01-31,0,,0,GBP,15,0,12,manual,N,2043-06-07,DEMO-0001-COLL-N,OBL-0001,DEMO-0001-N,0,DEMO-0001-COLL-O,OBO-0001,DEMO-0001,GB,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,0,2025-12-31,manual,468000,,,Monthly,Quarterly,170024.4,DEMO-0001,SYNTH2026POOL01,Interest roll-up,,,37.89189316239317,468000,2026-01-31,Full survey,,,,,,manual,,,West Midlands,,West Midlands,,,,,,,,Owner Occupied,,,,0.346,161928.0,,,,,Direct,2025-06-07,,,,,,,,,,,manual,,,Y,,,,,,
Active,0,0,GBP,manual,N,0,8.719,SONIA,1M,0,171008.53,2026-01-31,2025-01-31,0,,0,GBP,15,0,12,manual,N,2042-02-26,DEMO-0002-COLL-N,OBL-0002,DEMO-0002-N,0,DEMO-0002-COLL-O,OBO-0002,DEMO-0002,GB,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,0,2025-12-31,manual,359000,,,Monthly,Quarterly,168534.35,DEMO-0002,SYNTH2026POOL01,Interest roll-up,,,47.63468802228413,359000,2026-01-31,Full survey,,,,,,manual,,,East Midlands,,East Midlands,,,,,,,,Owner Occupied,,,,0.4471,160508.9,,,,,IFA,2024-02-26,,,,,,,,,,,manual,,,Y,,,,,,
Active,0,0,GBP,manual,N,0,8.014,SONIA,1M,0,79698.36,2026-01-31,2025-01-31,0,,0,GBP,15,0,12,manual,N,2043-04-26,DEMO-0003-COLL-N,OBL-0003,DEMO-0003-N,0,DEMO-0003-COLL-O,OBO-0003,DEMO-0003,GB,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,0,2025-12-31,manual,234000,,,Monthly,Quarterly,87125.22,DEMO-0003,SYNTH2026POOL01,Interest roll-up,,,34.059128205128204,234000,2026-01-31,Full survey,,,,,,manual,,,Wales,,Wales,,,,,,,,Owner Occupied,,,,0.3546,82976.4,,,,,Direct,2025-04-26,,,,,,,,,,,manual,,,Y,,,,,,
Active,0,0,GBP,manual,N,0,8.213,SONIA,1M,0,196804.85,2026-01-31,2025-01-31,0,,0,GBP,15,0,12,manual,N,2043-11-15,DEMO-0004-COLL-N,OBL-0004,DEMO-0004-N,0,DEMO-0004-COLL-O,OBO-0004,DEMO-0004,GB,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,0,2025-12-31,manual,392000,,,Monthly,Quarterly,195756.96,DEMO-0004,SYNTH2026POOL01,Interest roll-up,,,50.20531887755102,392000,2026-01-31,Full survey,,,,,,manual,,,Yorkshire and The Humber,,Yorkshire and The Humber,,,,,,,,Owner Occupied,,,,0.4756,186435.2,,,,,Direct,2025-11-15,,,,,,,,,,,manual,,,Y,,,,,,
Active,0,0,GBP,manual,N,0,6.867,SONIA,1M,0,259110.87,2026-01-31,2025-01-31,0,,0,GBP,15,0,12,manual,N,2043-01-15,DEMO-0005-COLL-N,OBL-0005,DEMO-0005-N,0,DEMO-0005-COLL-O,OBO-0005,DEMO-0005,GB,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,0,2025-12-31,manual,499000,,,Monthly,Quarterly,248247.51,DEMO-0005,SYNTH2026POOL01,Interest roll-up,,,51.92602605210421,499000,2026-01-31,Full survey,,,,,,manual,,,South West,,South West,,,,,,,,Owner Occupied,,,,0.4738,236426.2,,,,,Broker,2025-01-15,,,,,,,,,,,manual,,,Y,,,,,,
Active,0,0,GBP,manual,N,0,6.441,SONIA,1M,0,175963.41,2026-01-31,2025-01-31,0,,0,GBP,15,0,12,manual,N,2043-07-22,DEMO-0006-COLL-N,OBL-0006,DEMO-0006-N,0,DEMO-0006-COLL-O,OBO-0006,DEMO-0006,GB,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,0,2025-12-31,manual,323000,,,Monthly,Quarterly,175069.23,DEMO-0006,SYNTH2026POOL01,Interest roll-up,,,54.4778359133127,323000,2026-01-31,Full survey,,,,,,manual,,,Wales,,Wales,,,,,,,,Owner Occupied,,,,0.5162,166732.6,,,,,Direct,2025-07-22,,,,,,,,,,,manual,,,Y,,,,,,
Active,0,0,GBP,manual,N,0,9.001,SONIA,1M,0,71985.73,2026-01-31,2025-01-31,0,,0,GBP,15,0,12,manual,N,2042-09-02,DEMO-0007-COLL-N,OBL-0007,DEMO-0007-N,0,DEMO-0007-COLL-O,OBO-0007,DEMO-0007,GB,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,0,2025-12-31,manual,205000,,,Monthly,Quarterly,69956.25,DEMO-0007,SYNTH2026POOL01,Interest roll-up,,,35.11499024390244,205000,2026-01-31,Full survey,,,,,,manual,,,South East,,South East,,,,,,,,Owner Occupied,,,,0.325,66625.0,,,,,Direct,2024-09-02,,,,,,,,,,,manual,,,Y,,,,,,
Active,0,0,GBP,manual,N,0,8.468,SONIA,1M,0,241907.53,2026-01-31,2025-01-31,0,,0,GBP,15,0,12,manual,N,2043-06-25,DEMO-0008-COLL-N,OBL-0008,DEMO-0008-N,0,DEMO-0008-COLL-O,OBO-0008,DEMO-0008,GB,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,0,2025-12-31,manual,556000,,,Monthly,Quarterly,232118.88,DEMO-0008,SYNTH2026POOL01,Interest roll-up,,,43.50854856115108,556000,2026-01-31,Full survey,,,,,,manual,,,London,,London,,,,,,,,Owner Occupied,,,,0.3976,221065.6,,,,,Direct,2025-06-25,,,,,,,,,,,manual,,,Y,,,,,,
Redeemed,0,0,GBP,manual,N,0,6.974,SONIA,1M,0,56207.24,2026-01-31,2025-01-31,0,,0,GBP,15,0,12,manual,N,2043-11-15,DEMO-0009-COLL-N,OBL-0009,DEMO-0009-N,15,DEMO-0009-COLL-O,OBO-0009,DEMO-0009,GB,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,0,2025-12-31,manual,179000,2025-12-15,,Monthly,Quarterly,58677.99,DEMO-0009,SYNTH2026POOL01,Interest roll-up,,,31.40069273743017,179000,2026-01-31,Full survey,,,,,,manual,,,North West,,North West,,,,,,,,Owner Occupied,,,,0.3122,55883.8,,,,,IFA,2025-11-15,,,,,,,,,,,manual,,,Y,,,,,,
Active,0,0,GBP,manual,N,0,7.28,SONIA,1M,0,198435.68,2026-01-31,2025-01-31,0,,0,GBP,15,0,12,manual,N,2042-08-18,DEMO-0010-COLL-N,OBL-0010,DEMO-0010-N,0,DEMO-0010-COLL-O,OBO-0010,DEMO-0010,GB,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,0,2025-12-31,manual,407000,,,Monthly,Quarterly,198632.28,DEMO-0010,SYNTH2026POOL01,Interest roll-up,,,48.75569533169533,407000,2026-01-31,Full survey,,,,,,manual,,,South West,,South West,,,,,,,,Owner Occupied,,,,0.4648,189173.6,,,,,Direct,2024-08-18,,,,,,,,,,,manual,,,Y,,,,,,
