account_status,allocated_losses,amortisation_type,arrears_balance,borrower_identifier,collateral_currency,collateral_type,credit_impaired_obligor,cumulative_recoveries,current_interest_rate,current_interest_rate_index,current_interest_rate_index_tenor,current_interest_rate_margin,current_loan_to_value,current_principal_balance,current_valuation_amount,current_valuation_date,current_valuation_method,data_cut_off_date,date_of_repurchase,default_amount,default_date,deposit_amount,employment_status,exposure_currency_denomination,geographic_region_classification,geographic_region_obligor,interest_rate_cap,interest_rate_floor,interest_rate_reset_interval,interest_rate_type,litigation,loan_identifier,maturity_date,new_collateral_identifier,new_obligor_identifier,new_underlying_exposure_identifier,number_of_days_in_arrears,occupancy_type,original_collateral_identifier,original_loan_to_value,original_obligor_identifier,original_principal_balance,original_underlying_exposure_identifier,origination_channel,origination_date,originator_legal_entity_identifier,originator_name,payment_due,pool_addition_date,prepayment_fee,principal_grace_period_end_date,property_post_code,property_type,purchase_price,purpose,redemption_date,resident,scheduled_interest_payment_frequency,scheduled_principal_payment_frequency,total_credit_limit,underlying_exposure_identifier,unique_identifier,youngest_borrower_age,originator_establishment_country,customer_type
Active,0,Interest roll-up,0,,GBP,manual,0,0,7.108,SONIA,1M,0,0.3577,177334.06,468000,31/01/2026,Full survey,31/01/2026,31/01/2025,0,,0,manual,GBP,West Midlands,West Midlands,15,0,12,Fixed,0,DEMO-0001,07/06/2043,DEMO-0001-COLL-N,OBL-0001,DEMO-0001-N,0,Owner Occupied,DEMO-0001-COLL-O,0.346,OBO-0001,161928.00,DEMO-0001,Direct,07/06/2025,213800ABCDE123456701N202501,ERE Funding Limited,0,31/01/2025,0,31/12/2025,B1 1AA,Detached House,468000,Home improvements,,1,Monthly,Quarterly,170024.40,DEMO-0001,SYN-UID-0001,77,GB,CNEO
Active,0,Interest roll-up,0,,GBP,manual,0,0,8.719,SONIA,1M,0,0.4695,171008.53,359000,31/01/2026,Full survey,31/01/2026,31/01/2025,0,,0,manual,GBP,East Midlands,East Midlands,15,0,12,variable,0,DEMO-0002,26/02/2042,DEMO-0002-COLL-N,OBL-0002,DEMO-0002-N,0,Owner Occupied,DEMO-0002-COLL-O,0.4471,OBO-0002,160508.90,DEMO-0002,IFA,26/02/2024,213800ABCDE123456701N202501,ERE Funding Limited,0,31/01/2025,0,31/12/2025,NG1 5FS,detached,359000,Refinance ,,1,Monthly,Quarterly,168534.35,DEMO-0002,SYN-UID-0002,74,GB,CNEO
Active,0,Interest roll-up,0,,GBP,manual,0,0,8.014,SONIA,1M,0,0.3381,79698.36,234000,31/01/2026,Full survey,31/01/2026,31/01/2025,0,,0,manual,GBP,Wales,Wales,15,0,12,FIXED ,0,DEMO-0003,26/04/2043,DEMO-0003-COLL-N,OBL-0003,DEMO-0003-N,0,Owner Occupied,DEMO-0003-COLL-O,0.3546,OBO-0003,82976.40,DEMO-0003,Direct,26/04/2025,213800ABCDE123456701N202501,ERE Funding Limited,0,31/01/2025,0,31/12/2025,CF10 1EP,Semi Detached,234000,Equity release,,1,Monthly,Quarterly,87125.22,DEMO-0003,SYN-UID-0003,74,GB,CNEO
Active,0,Interest roll-up,0,,GBP,manual,0,0,8.213,SONIA,1M,0,0.4745,196804.85,392000,31/01/2026,Full survey,31/01/2026,31/01/2025,0,,0,manual,GBP,Yorkshire and The Humber,Yorkshire and The Humber,15,0,12,Variable rate,0,DEMO-0004,15/11/2043,DEMO-0004-COLL-N,OBL-0004,DEMO-0004-N,0,Owner Occupied,DEMO-0004-COLL-O,0.4756,OBO-0004,186435.20,DEMO-0004,Direct,15/11/2025,213800ABCDE123456701N202501,ERE Funding Limited,0,31/01/2025,0,31/12/2025,LS1 4AP,semi-detached house,392000,Debt Consolidation,,1,Monthly,Quarterly,195756.96,DEMO-0004,SYN-UID-0004,69,GB,CNEO
Active,0,Interest roll-up,0,,GBP,manual,0,0,6.867,SONIA,1M,0,0.502,259110.87,499000,31/01/2026,Full survey,31/01/2026,31/01/2025,0,,0,manual,GBP,South West,South West,15,0,12,Fixed,0,DEMO-0005,15/01/2043,DEMO-0005-COLL-N,OBL-0005,DEMO-0005-N,0,Owner Occupied,DEMO-0005-COLL-O,0.4738,OBO-0005,236426.20,DEMO-0005,Broker,15/01/2025,213800ABCDE123456701N202501,ERE Funding Limited,0,31/01/2025,0,31/12/2025,BS1 5AH,Flat / Apartment,499000,Purchase Main Residence,,1,Monthly,Quarterly,248247.51,DEMO-0005,SYN-UID-0005,78,GB,CNEO
Active,0,Interest roll-up,0,,GBP,manual,0,0,6.441,SONIA,1M,0,0.5434,175963.41,323000,31/01/2026,Full survey,31/01/2026,31/01/2025,0,,0,manual,GBP,Wales,Wales,15,0,12,variable,0,DEMO-0006,22/07/2043,DEMO-0006-COLL-N,OBL-0006,DEMO-0006-N,0,Owner Occupied,DEMO-0006-COLL-O,0.5162,OBO-0006,166732.60,DEMO-0006,Direct,22/07/2025,213800ABCDE123456701N202501,ERE Funding Limited,0,31/01/2025,0,31/12/2025,CF10 1EP,flat,323000,Home improvements,,1,Monthly,Quarterly,175069.23,DEMO-0006,SYN-UID-0006,78,GB,CNEO
Active,0,Interest roll-up,0,,GBP,manual,0,0,9.001,SONIA,1M,0,0.3274,71985.73,205000,31/01/2026,Full survey,31/01/2026,31/01/2025,0,,0,manual,GBP,South East,South East,15,0,12,FIXED ,0,DEMO-0007,02/09/2042,DEMO-0007-COLL-N,OBL-0007,DEMO-0007-N,0,Owner Occupied,DEMO-0007-COLL-O,0.325,OBO-0007,66625.00,DEMO-0007,Direct,02/09/2024,213800ABCDE123456701N202501,ERE Funding Limited,0,31/01/2025,0,31/12/2025,RG1 2DP,Bungalow,205000,Refinance ,,1,Monthly,Quarterly,69956.25,DEMO-0007,SYN-UID-0007,81,GB,CNEO
Active,0,Interest roll-up,0,,GBP,manual,0,0,8.468,SONIA,1M,0,0.3891,241907.53,556000,31/01/2026,Full survey,31/01/2026,31/01/2025,0,,0,manual,GBP,London,London,15,0,12,Variable rate,0,DEMO-0008,25/06/2043,DEMO-0008-COLL-N,OBL-0008,DEMO-0008-N,0,Owner Occupied,DEMO-0008-COLL-O,0.3976,OBO-0008,221065.60,DEMO-0008,Direct,25/06/2025,213800ABCDE123456701N202501,ERE Funding Limited,0,31/01/2025,0,31/12/2025,SW1A 1AA,HOUSE,556000,Equity release,,1,Monthly,Quarterly,232118.88,DEMO-0008,SYN-UID-0008,65,GB,CNEO
Redeemed,0,Interest roll-up,0,,GBP,manual,0,0,6.974,SONIA,1M,0,0.3348,56207.24,179000,31/01/2026,Full survey,31/01/2026,31/01/2025,0,,0,manual,GBP,North West,North West,15,0,12,Fixed,0,DEMO-0009,15/11/2043,DEMO-0009-COLL-N,OBL-0009,DEMO-0009-N,15,Owner Occupied,DEMO-0009-COLL-O,0.3122,OBO-0009,55883.80,DEMO-0009,IFA,15/11/2025,213800ABCDE123456701N202501,ERE Funding Limited,0,31/01/2025,0,31/12/2025,M1 1AE,Detached House,179000,Debt Consolidation,15/12/2025,1,Monthly,Quarterly,58677.99,DEMO-0009,SYN-UID-0009,60,GB,CNEO
Active,0,Interest roll-up,0,,GBP,manual,0,0,7.28,SONIA,1M,0,0.4493,198435.68,407000,31/01/2026,Full survey,31/01/2026,31/01/2025,0,,0,manual,GBP,South West,South West,15,0,12,variable,0,DEMO-0010,18/08/2042,DEMO-0010-COLL-N,OBL-0010,DEMO-0010-N,0,Owner Occupied,DEMO-0010-COLL-O,0.4648,OBO-0010,189173.60,DEMO-0010,Direct,18/08/2024,213800ABCDE123456701N202501,ERE Funding Limited,0,31/01/2025,0,31/12/2025,BS1 5AH,detached,407000,Purchase Main Residence,,1,Monthly,Quarterly,198632.28,DEMO-0010,SYN-UID-0010,78,GB,CNEO
