account_status,allocated_losses,amortisation_type,arrears_balance,borrower_identifier,collateral_currency,collateral_type,credit_impaired_obligor,cumulative_recoveries,current_interest_rate,current_interest_rate_index,current_interest_rate_index_tenor,current_interest_rate_margin,current_loan_to_value,current_principal_balance,current_valuation_amount,current_valuation_date,current_valuation_method,data_cut_off_date,date_of_repurchase,default_amount,default_date,deposit_amount,employment_status,exposure_currency_denomination,geographic_region_classification,geographic_region_obligor,interest_rate_cap,interest_rate_floor,interest_rate_reset_interval,interest_rate_type,litigation,loan_identifier,maturity_date,new_collateral_identifier,new_obligor_identifier,new_underlying_exposure_identifier,number_of_days_in_arrears,occupancy_type,original_collateral_identifier,original_loan_to_value,original_obligor_identifier,original_principal_balance,original_underlying_exposure_identifier,origination_channel,origination_date,originator_legal_entity_identifier,originator_name,payment_due,pool_addition_date,postcode,prepayment_fee,principal_grace_period_end_date,property_type,purchase_price,purpose,redemption_date,resident,scheduled_interest_payment_frequency,scheduled_principal_payment_frequency,total_credit_limit,underlying_exposure_identifier,unique_identifier,youngest_borrower_age,originator_establishment_country,customer_type,current_outstanding_balance,accrued_interest,geographic_region_classification_source
Active,0,Interest roll-up,0,,GBP,manual,N,0,7.108,SONIA,1M,0,37.89189316239317,177334.06,468000,2026-01-31,Full survey,2025-11-30,2025-01-31,0,,0,manual,GBP,West Midlands,West Midlands,15,0,12,Fixed,N,DEMO-0001,2043-06-07,DEMO-0001-COLL-N,OBL-0001,DEMO-0001-N,0,Owner Occupied,DEMO-0001-COLL-O,0.346,OBO-0001,161928.0,DEMO-0001,Direct,2025-06-07,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,B1 1AA,0,2025-12-31,Detached House,468000,Home improvements,,Y,Monthly,Quarterly,170024.4,DEMO-0001,SYN-UID-0001,77,GB,CNEO,177334.06,,provided
Active,0,Interest roll-up,0,,GBP,manual,N,0,8.719,SONIA,1M,0,47.634688022284124,171008.53,359000,2026-01-31,Full survey,2025-11-30,2025-01-31,0,,0,manual,GBP,East Midlands,East Midlands,15,0,12,variable,N,DEMO-0002,2042-02-26,DEMO-0002-COLL-N,OBL-0002,DEMO-0002-N,0,Owner Occupied,DEMO-0002-COLL-O,0.4471,OBO-0002,160508.9,DEMO-0002,IFA,2024-02-26,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,NG1 5FS,0,2025-12-31,detached,359000,Refinance,,Y,Monthly,Quarterly,168534.35,DEMO-0002,SYN-UID-0002,74,GB,CNEO,171008.53,,provided
Active,0,Interest roll-up,0,,GBP,manual,N,0,8.014,SONIA,1M,0,34.059128205128204,79698.36,234000,2026-01-31,Full survey,2025-11-30,2025-01-31,0,,0,manual,GBP,Wales,Wales,15,0,12,FIXED,N,DEMO-0003,2043-04-26,DEMO-0003-COLL-N,OBL-0003,DEMO-0003-N,0,Owner Occupied,DEMO-0003-COLL-O,0.3546,OBO-0003,82976.4,DEMO-0003,Direct,2025-04-26,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,CF10 1EP,0,2025-12-31,Semi Detached,234000,Equity release,,Y,Monthly,Quarterly,87125.22,DEMO-0003,SYN-UID-0003,74,GB,CNEO,79698.36,,provided
Active,0,Interest roll-up,0,,GBP,manual,N,0,8.213,SONIA,1M,0,50.20531887755102,196804.85,392000,2026-01-31,Full survey,2025-11-30,2025-01-31,0,,0,manual,GBP,Yorkshire and The Humber,Yorkshire and The Humber,15,0,12,Variable rate,N,DEMO-0004,2043-11-15,DEMO-0004-COLL-N,OBL-0004,DEMO-0004-N,0,Owner Occupied,DEMO-0004-COLL-O,0.4756,OBO-0004,186435.2,DEMO-0004,Direct,2025-11-15,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,LS1 4AP,0,2025-12-31,semi-detached house,392000,Debt Consolidation,,Y,Monthly,Quarterly,195756.96,DEMO-0004,SYN-UID-0004,69,GB,CNEO,196804.85,,provided
Active,0,Interest roll-up,0,,GBP,manual,N,0,6.867,SONIA,1M,0,51.92602605210421,259110.87,499000,2026-01-31,Full survey,2025-11-30,2025-01-31,0,,0,manual,GBP,South West,South West,15,0,12,Fixed,N,DEMO-0005,2043-01-15,DEMO-0005-COLL-N,OBL-0005,DEMO-0005-N,0,Owner Occupied,DEMO-0005-COLL-O,0.4738,OBO-0005,236426.2,DEMO-0005,Broker,2025-01-15,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,BS1 5AH,0,2025-12-31,Flat / Apartment,499000,Purchase Main Residence,,Y,Monthly,Quarterly,248247.51,DEMO-0005,SYN-UID-0005,78,GB,CNEO,259110.87,,provided
Active,0,Interest roll-up,0,,GBP,manual,N,0,6.441,SONIA,1M,0,54.4778359133127,175963.41,323000,2026-01-31,Full survey,2025-11-30,2025-01-31,0,,0,manual,GBP,Wales,Wales,15,0,12,variable,N,DEMO-0006,2043-07-22,DEMO-0006-COLL-N,OBL-0006,DEMO-0006-N,0,Owner Occupied,DEMO-0006-COLL-O,0.5162,OBO-0006,166732.6,DEMO-0006,Direct,2025-07-22,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,CF10 1EP,0,2025-12-31,flat,323000,Home improvements,,Y,Monthly,Quarterly,175069.23,DEMO-0006,SYN-UID-0006,78,GB,CNEO,175963.41,,provided
Active,0,Interest roll-up,0,,GBP,manual,N,0,9.001,SONIA,1M,0,35.11499024390244,71985.73,205000,2026-01-31,Full survey,2025-11-30,2025-01-31,0,,0,manual,GBP,South East,South East,15,0,12,FIXED,N,DEMO-0007,2042-09-02,DEMO-0007-COLL-N,OBL-0007,DEMO-0007-N,0,Owner Occupied,DEMO-0007-COLL-O,0.325,OBO-0007,66625.0,DEMO-0007,Direct,2024-09-02,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,RG1 2DP,0,2025-12-31,Bungalow,205000,Refinance,,Y,Monthly,Quarterly,69956.25,DEMO-0007,SYN-UID-0007,81,GB,CNEO,71985.73,,provided
Active,0,Interest roll-up,0,,GBP,manual,N,0,8.468,SONIA,1M,0,43.50854856115108,241907.53,556000,2026-01-31,Full survey,2025-11-30,2025-01-31,0,,0,manual,GBP,London,London,15,0,12,Variable rate,N,DEMO-0008,2043-06-25,DEMO-0008-COLL-N,OBL-0008,DEMO-0008-N,0,Owner Occupied,DEMO-0008-COLL-O,0.3976,OBO-0008,221065.6,DEMO-0008,Direct,2025-06-25,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,SW1A 1AA,0,2025-12-31,HOUSE,556000,Equity release,,Y,Monthly,Quarterly,232118.88,DEMO-0008,SYN-UID-0008,65,GB,CNEO,241907.53,,provided
Redeemed,0,Interest roll-up,0,,GBP,manual,N,0,6.974,SONIA,1M,0,31.40069273743017,56207.24,179000,2026-01-31,Full survey,2025-11-30,2025-01-31,0,,0,manual,GBP,North West,North West,15,0,12,Fixed,N,DEMO-0009,2043-11-15,DEMO-0009-COLL-N,OBL-0009,DEMO-0009-N,15,Owner Occupied,DEMO-0009-COLL-O,0.3122,OBO-0009,55883.8,DEMO-0009,IFA,2025-11-15,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,M1 1AE,0,2025-12-31,Detached House,179000,Debt Consolidation,2025-12-15,Y,Monthly,Quarterly,58677.99,DEMO-0009,SYN-UID-0009,60,GB,CNEO,56207.24,,provided
Active,0,Interest roll-up,0,,GBP,manual,N,0,7.28,SONIA,1M,0,48.75569533169533,198435.68,407000,2026-01-31,Full survey,2025-11-30,2025-01-31,0,,0,manual,GBP,South West,South West,15,0,12,variable,N,DEMO-0010,2042-08-18,DEMO-0010-COLL-N,OBL-0010,DEMO-0010-N,0,Owner Occupied,DEMO-0010-COLL-O,0.4648,OBO-0010,189173.6,DEMO-0010,Direct,2024-08-18,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,BS1 5AH,0,2025-12-31,detached,407000,Purchase Main Residence,,Y,Monthly,Quarterly,198632.28,DEMO-0010,SYN-UID-0010,78,GB,CNEO,198435.68,,provided
Active,0,Interest roll-up,0,,GBP,manual,N,0,6.577,SONIA,1M,0,43.53909692671395,184170.38,423000,,Full survey,2025-11-30,2025-01-31,0,,0,manual,GBP,London,London,15,0,12,FIXED,N,DEMO-0011,2042-03-28,DEMO-0011-COLL-N,OBL-0011,DEMO-0011-N,0,Owner Occupied,DEMO-0011-COLL-O,0.4353,OBO-0011,184131.9,DEMO-0011,Broker,2024-03-28,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,SW1A 1AA,0,2025-12-31,Semi Detached,423000,Home improvements,,Y,Monthly,Quarterly,193338.49,DEMO-0011,SYN-UID-0011,82,GB,CNEO,184170.38,,provided
