account_status,allocated_losses,amortisation_type,arrears_balance,borrower_identifier,collateral_currency,collateral_type,credit_impaired_obligor,cumulative_recoveries,current_interest_rate,current_interest_rate_index,current_interest_rate_index_tenor,current_interest_rate_margin,current_loan_to_value,current_principal_balance,current_valuation_amount,current_valuation_date,current_valuation_method,data_cut_off_date,date_of_repurchase,default_amount,default_date,deposit_amount,employment_status,exposure_currency_denomination,geographic_region_classification,geographic_region_obligor,interest_rate_cap,interest_rate_floor,interest_rate_reset_interval,interest_rate_type,litigation,loan_identifier,maturity_date,new_collateral_identifier,new_obligor_identifier,new_underlying_exposure_identifier,number_of_days_in_arrears,occupancy_type,original_collateral_identifier,original_loan_to_value,original_obligor_identifier,original_principal_balance,original_underlying_exposure_identifier,origination_channel,origination_date,originator_legal_entity_identifier,originator_name,payment_due,pool_addition_date,postcode,prepayment_fee,principal_grace_period_end_date,property_type,purchase_price,purpose,redemption_date,resident,scheduled_interest_payment_frequency,scheduled_principal_payment_frequency,total_credit_limit,underlying_exposure_identifier,unique_identifier,youngest_borrower_age,originator_establishment_country,customer_type,current_outstanding_balance,accrued_interest,geographic_region_collateral,collateral_geography,geographic_region_obligor_itl3,geographic_region_collateral_itl3,geographic_region_classification_source,source_portfolio_id,source_portfolio_type,source_portfolio_label,acquisition_date,seller_name,portfolio_cohort
Active,0,Interest roll-up,0,,GBP,residential property,N,0,6.451,SONIA,1M,0,37.32006697958016,392704.51,1052261,2026-06-30,Full survey,2026-06-30,2025-01-31,0,,0,SFEM,GBP,2021,TLJ16,15,0,12,FXRL,N,ORIGINATION-0001,2047-07-30,ORIGINATION-0001-COLL-N,OBL-ORIGINATION-0001,ORIGINATION-0001-N,0,Owner Occupied,ORIGINATION-0001-COLL-O,0.3454,OBO-ORIGINATION-0001,347145.65,ORIGINATION-0001,Direct,2024-07-30,213800ABCDE123456701N202501,ERE Funding Limited,0,2024-07-30,RG1 2DP,0,2026-12-30,RHOS,1005000,PURC,,Y,Monthly,Quarterly,364502.93,ORIGINATION-0001,SYN-ORIGINATION-0001,63,GB,CNEO,392704.51,,TLJ16,South East,TLJ16,TLJ16,configured_nuts_classification_year,alp_origination,direct,ALP Origination Book,,,alp_origination
Active,0,Interest roll-up,0,,GBP,residential property,N,0,6.735,SONIA,1M,0,37.93250990314804,298479.92,786871,2026-06-30,Full survey,2026-06-30,2025-01-31,0,,0,SFEM,GBP,2021,TLK51,15,0,12,FXRL,N,ORIGINATION-0002,2043-02-28,ORIGINATION-0002-COLL-N,OBL-ORIGINATION-0002,ORIGINATION-0002-N,0,Owner Occupied,ORIGINATION-0002-COLL-O,0.2764,OBO-ORIGINATION-0002,182396.61,ORIGINATION-0002,Direct,2019-02-28,213800ABCDE123456701N202501,ERE Funding Limited,0,2019-02-28,BS1 5AH,0,2026-12-30,RHOS,660000,RENV,,Y,Monthly,Quarterly,191516.44,ORIGINATION-0002,SYN-ORIGINATION-0002,81,GB,CNEO,298479.92,,TLK51,South West,TLK51,TLK51,configured_nuts_classification_year,alp_origination,direct,ALP Origination Book,,,alp_origination
Active,0,Interest roll-up,0,,GBP,residential property,N,0,6.342,SONIA,1M,0,30.077429430897624,221470.64,736335,2026-06-30,Full survey,2026-06-30,2025-01-31,0,,0,EMUK,GBP,2021,TLI35,15,0,12,FXRL,N,ORIGINATION-0003,2045-03-30,ORIGINATION-0003-COLL-N,OBL-ORIGINATION-0003,ORIGINATION-0003-N,0,Owner Occupied,ORIGINATION-0003-COLL-O,0.2545,OBO-ORIGINATION-0003,169264.87,ORIGINATION-0003,Direct,2022-03-30,213800ABCDE123456701N202501,ERE Funding Limited,0,2022-03-30,SW1A 1AA,0,2026-12-30,RHOS,665000,EQRE,,Y,Monthly,Quarterly,177728.11,ORIGINATION-0003,SYN-ORIGINATION-0003,79,GB,CNEO,221470.64,,TLI35,London,TLI35,TLI35,configured_nuts_classification_year,alp_origination,direct,ALP Origination Book,,,alp_origination
Active,0,Interest roll-up,0,,GBP,residential property,N,0,6.915,SONIA,1M,0,42.51776659679762,391085.22,919816,2026-06-30,Full survey,2026-06-30,2025-01-31,0,,0,SFEM,GBP,2021,TLH42,15,0,12,FXRL,N,ORIGINATION-0004,2039-05-30,ORIGINATION-0004-COLL-N,OBL-ORIGINATION-0004,ORIGINATION-0004-N,0,Owner Occupied,ORIGINATION-0004-COLL-O,0.3871,OBO-ORIGINATION-0004,338754.78,ORIGINATION-0004,Direct,2024-05-30,213800ABCDE123456701N202501,ERE Funding Limited,0,2024-05-30,CB2 1TN,0,2026-12-30,RFLT,875000,PURC,,Y,Monthly,Quarterly,355692.52,ORIGINATION-0004,SYN-ORIGINATION-0004,66,GB,CNEO,391085.22,,TLH42,East of England,TLH42,TLH42,configured_nuts_classification_year,alp_origination,direct,ALP Origination Book,,,alp_origination
Active,0,Interest roll-up,0,,GBP,residential property,N,0,8.439,SONIA,1M,0,34.398317669869336,222829.55,647792,2026-06-30,Full survey,2026-06-30,2025-01-31,0,,0,PNNR,GBP,2021,TLH42,15,0,12,FXRL,N,ORIGINATION-0005,2048-04-30,ORIGINATION-0005-COLL-N,OBL-ORIGINATION-0005,ORIGINATION-0005-N,0,Owner Occupied,ORIGINATION-0005-COLL-O,0.302,OBO-ORIGINATION-0005,185712.92,ORIGINATION-0005,Direct,2024-04-30,213800ABCDE123456701N202501,ERE Funding Limited,0,2024-04-30,CB2 1TN,0,2026-12-30,RHOS,615000,RENV,,Y,Monthly,Quarterly,194998.57,ORIGINATION-0005,SYN-ORIGINATION-0005,70,GB,CNEO,222829.55,,TLH42,East of England,TLH42,TLH42,configured_nuts_classification_year,alp_origination,direct,ALP Origination Book,,,alp_origination
Active,0,Interest roll-up,0,,GBP,residential property,N,0,7.91,SONIA,1M,0,43.94457475152522,212272.95,483047,2026-06-30,Full survey,2026-06-30,2025-01-31,0,,0,PNNR,GBP,2021,TLM13,15,0,12,FXRL,N,ORIGINATION-0006,2045-08-30,ORIGINATION-0006-COLL-N,OBL-ORIGINATION-0006,ORIGINATION-0006-N,0,Owner Occupied,ORIGINATION-0006-COLL-O,0.3191,OBO-ORIGINATION-0006,134017.5,ORIGINATION-0006,Direct,2020-08-30,213800ABCDE123456701N202501,ERE Funding Limited,0,2020-08-30,EH1 1YZ,0,2026-12-30,RFLT,420000,RENV,,Y,Monthly,Quarterly,140718.38,ORIGINATION-0006,SYN-ORIGINATION-0006,69,GB,CNEO,212272.95,,TLM13,Scotland,TLM13,TLM13,configured_nuts_classification_year,alp_origination,direct,ALP Origination Book,,,alp_origination
Active,0,Interest roll-up,0,,GBP,residential property,N,0,7.274,SONIA,1M,0,59.85302911619067,430188.26,718741,2026-06-30,Full survey,2026-06-30,2025-01-31,0,,0,PNNR,GBP,2021,TLH42,15,0,12,FXRL,N,ORIGINATION-0007,2040-04-30,ORIGINATION-0007-COLL-N,OBL-ORIGINATION-0007,ORIGINATION-0007-N,0,Owner Occupied,ORIGINATION-0007-COLL-O,0.4658,OBO-ORIGINATION-0007,295755.79,ORIGINATION-0007,Direct,2021-04-30,213800ABCDE123456701N202501,ERE Funding Limited,0,2021-04-30,CB2 1TN,0,2026-12-30,RBGL,635000,EQRE,,Y,Monthly,Quarterly,310543.58,ORIGINATION-0007,SYN-ORIGINATION-0007,74,GB,CNEO,430188.26,,TLH42,East of England,TLH42,TLH42,configured_nuts_classification_year,alp_origination,direct,ALP Origination Book,,,alp_origination
Active,0,Interest roll-up,0,,GBP,residential property,N,0,6.376,SONIA,1M,0,42.64833889026063,260815.49,611549,2026-06-30,Full survey,2026-06-30,2025-01-31,0,,0,SFEM,GBP,2021,TLH42,15,0,12,FXRL,N,ORIGINATION-0008,2044-04-30,ORIGINATION-0008-COLL-N,OBL-ORIGINATION-0008,ORIGINATION-0008-N,0,Owner Occupied,ORIGINATION-0008-COLL-O,0.3211,OBO-ORIGINATION-0008,165351.95,ORIGINATION-0008,Direct,2019-04-30,213800ABCDE123456701N202501,ERE Funding Limited,0,2019-04-30,CB2 1TN,0,2026-12-30,RBGL,515000,EQRE,,Y,Monthly,Quarterly,173619.55,ORIGINATION-0008,SYN-ORIGINATION-0008,82,GB,CNEO,260815.49,,TLH42,East of England,TLH42,TLH42,configured_nuts_classification_year,alp_origination,direct,ALP Origination Book,,,alp_origination
Active,0,Interest roll-up,0,,GBP,residential property,N,0,8.066,SONIA,1M,0,42.236611654018496,540862.62,1280554,2026-06-30,Full survey,2026-06-30,2025-01-31,0,,0,PNNR,GBP,2021,TLK51,15,0,12,FXRL,N,ORIGINATION-0009,2036-10-30,ORIGINATION-0009-COLL-N,OBL-ORIGINATION-0009,ORIGINATION-0009-N,0,Owner Occupied,ORIGINATION-0009-COLL-O,0.3246,OBO-ORIGINATION-0009,371671.87,ORIGINATION-0009,Direct,2021-10-30,213800ABCDE123456701N202501,ERE Funding Limited,0,2021-10-30,BS1 5AH,0,2026-12-30,RFLT,1145000,PURC,,Y,Monthly,Quarterly,390255.46,ORIGINATION-0009,SYN-ORIGINATION-0009,80,GB,CNEO,540862.62,,TLK51,South West,TLK51,TLK51,configured_nuts_classification_year,alp_origination,direct,ALP Origination Book,,,alp_origination
Active,0,Interest roll-up,0,,GBP,residential property,N,0,8.595,SONIA,1M,0,58.74826520961408,228587.15,389096,2026-06-30,Full survey,2026-06-30,2025-01-31,0,,0,SFEM,GBP,2021,TLF14,15,0,12,FXRL,N,ORIGINATION-0010,2036-01-30,ORIGINATION-0010-COLL-N,OBL-ORIGINATION-0010,ORIGINATION-0010-N,0,Owner Occupied,ORIGINATION-0010-COLL-O,0.4474,OBO-ORIGINATION-0010,156594.25,ORIGINATION-0010,Direct,2022-01-30,213800ABCDE123456701N202501,ERE Funding Limited,0,2022-01-30,NG1 5FS,0,2026-12-30,RBGL,350000,RMRT,,Y,Monthly,Quarterly,164423.96,ORIGINATION-0010,SYN-ORIGINATION-0010,76,GB,CNEO,228587.15,,TLF14,East Midlands,TLF14,TLF14,configured_nuts_classification_year,alp_origination,direct,ALP Origination Book,,,alp_origination
