Loan Identifier,Payment Date,Scheduled Interest Payment,Scheduled Principal Payment,Actual Interest Paid,Actual Principal Paid,Arrears Balance,Data Cut Off Date
AUTO-0001,2026-01-31,42.79,143.91,42.79,143.91,0.00,2026-01-31
AUTO-0002,2026-01-31,70.80,303.28,45.26,193.90,935.20,2026-01-31
AUTO-0003,2026-01-31,65.44,81.18,65.44,81.18,0.00,2026-01-31
AUTO-0004,2026-01-31,118.08,640.80,118.08,640.80,0.00,2026-01-31
AUTO-0005,2026-01-31,56.39,275.66,31.48,153.91,586.62,2026-01-31
AUTO-0006,2026-01-31,45.20,429.96,45.20,429.96,0.00,2026-01-31
AUTO-0007,2026-01-31,21.06,594.70,11.32,319.66,1108.37,2026-01-31
AUTO-0008,2026-01-31,110.69,153.53,110.69,153.53,0.00,2026-01-31
AUTO-0009,2026-01-31,95.86,360.62,64.30,241.87,776.02,2026-01-31
AUTO-0010,2026-01-31,105.20,207.73,105.20,207.73,0.00,2026-01-31
AUTO-0011,2026-01-31,32.77,406.54,12.95,160.66,87.86,2026-01-31
AUTO-0012,2026-01-31,32.55,143.26,21.68,95.42,392.64,2026-01-31
AUTO-0013,2026-01-31,40.55,280.14,16.17,111.70,855.17,2026-01-31
AUTO-0014,2026-01-31,60.57,149.65,60.57,149.65,0.00,2026-01-31
AUTO-0015,2026-01-31,31.56,371.26,31.56,371.26,0.00,2026-01-31
AUTO-0016,2026-01-31,79.76,505.85,79.76,505.85,0.00,2026-01-31
AUTO-0017,2026-01-31,66.75,377.44,23.30,131.75,1154.89,2026-01-31
AUTO-0018,2026-01-31,114.29,210.66,0.00,0.00,2047.18,2026-01-31
AUTO-0019,2026-01-31,283.25,709.39,165.45,414.37,727.94,2026-01-31
AUTO-0020,2026-01-31,122.51,382.04,79.29,247.25,353.19,2026-01-31
AUTO-0021,2026-01-31,26.73,111.89,26.73,111.89,0.00,2026-01-31
AUTO-0022,2026-01-31,407.21,696.97,407.21,696.97,0.00,2026-01-31
AUTO-0023,2026-01-31,285.67,532.16,285.67,532.16,0.00,2026-01-31
AUTO-0024,2026-01-31,73.59,193.70,73.59,193.70,0.00,2026-01-31
AUTO-0025,2026-01-31,79.47,217.88,49.71,136.30,19.82,2026-01-31
AUTO-0026,2026-01-31,163.65,405.41,108.50,268.78,37.94,2026-01-31
