Loan Identifier,Original Obligor Identifier,Data Cut Off Date,Origination Date,Maturity Date,Original Term,Agreement Type,Original Principal Balance,Current Principal Balance,Current Interest Rate,Interest Rate Type,Deposit Amount,Balloon Payment,Monthly Instalment,Payment Frequency,Purpose,Origination Channel,Currency,Account Status,Days Past Due,Arrears Balance,Default Date,Default Amount,Allocated Losses,Cumulative Recoveries,IFRS9 Stage,Internal Risk Grade,Credit Score,Probability of Default,Loss Given Default,Exposure at Default,Employment Status,Primary Income,Borrower Age,Geographic Region - Obligor,Postcode,Collateral Type,New or Used,Original Valuation Amount,Current Valuation Amount,Original Loan-To-Value,Current Loan-To-Value,Vehicle Make,Vehicle Model,Vehicle Registration Year,Mileage,Vehicle Identification Number,Fuel Type
AUTO-0001,OBL-AUTO-0001,2026-01-31,2024-05-28,2027-05-28,36,PCP,7843.84,4965.63,10.34,Fixed,535.16,2663.06,186.70,Monthly,Vehicle Purchase,Dealer,GBP,Performing,0,0.00,,0.00,0.00,0.00,Stage 1,A1,803,0.0235,0.5275,4965.63,SELF_EMPLOYED,56305,31,West Midlands,B1 1AA,Motor Vehicle,Used,8379.00,6032.88,0.9361,0.8231,Vauxhall,Corsa,2024,77554,WVW807719953738,Petrol
AUTO-0002,OBL-AUTO-0002,2026-01-31,2024-10-28,2027-10-28,36,HP,10918.10,6368.89,13.34,Fixed,1731.90,0.00,374.08,Monthly,Vehicle Purchase,Broker,GBP,Arrears,75,935.20,,0.00,0.00,0.00,Stage 2,C1,685,0.1266,0.3511,6368.89,EMPLOYED,37755,30,North West,M1 4WX,Motor Vehicle,Used,12650.00,9993.50,0.8631,0.6373,Volkswagen,Golf,2024,70832,WVW415303173030,Petrol
AUTO-0003,OBL-AUTO-0003,2026-01-31,2025-02-28,2030-02-28,60,PCP,7448.32,6555.36,11.98,Fixed,398.68,2577.61,146.62,Monthly,Vehicle Purchase,Dealer,GBP,Performing,0,0.00,,0.00,0.00,0.00,Stage 1,A1,890,0.0212,0.3329,6555.36,SELF_EMPLOYED,38512,68,Wales,CF10 1AA,Motor Vehicle,Used,7847.00,6638.56,0.9492,0.9875,Vauxhall,Corsa,2025,67387,WVW186505209860,Petrol
AUTO-0004,OBL-AUTO-0004,2026-01-31,2024-10-28,2027-10-28,36,HP,23068.84,13456.82,10.53,Fixed,2931.16,0.00,758.88,Monthly,Vehicle Purchase,Dealer,GBP,Performing,0,0.00,,0.00,0.00,0.00,Stage 1,A1,882,0.0242,0.3917,13456.82,EMPLOYED,75976,25,West Midlands,B1 1AA,Motor Vehicle,New,26000.00,20540.00,0.8873,0.6552,Nissan,Qashqai,2024,186,WVW560872906242,Petrol
AUTO-0005,OBL-AUTO-0005,2026-01-31,2024-11-28,2028-11-28,48,HP,13231.81,9372.53,7.22,Fixed,824.19,0.00,332.05,Monthly,Vehicle Purchase,Direct,GBP,Arrears,53,586.62,,0.00,0.00,0.00,Stage 2,C1,606,0.1138,0.4456,9372.53,SELF_EMPLOYED,31515,32,East of England,CB1 1AA,Motor Vehicle,Used,14056.00,11301.02,0.9414,0.8294,Toyota,Corolla,2024,31881,WVW688539523102,Hybrid
AUTO-0006,OBL-AUTO-0006,2026-01-31,2023-04-28,2026-04-28,36,PCP,21970.58,7782.03,6.97,Fixed,5029.42,6492.16,475.16,Monthly,Vehicle Purchase,Online,GBP,Performing,0,0.00,,0.00,0.00,0.00,Stage 1,A1,896,0.0094,0.3235,7782.03,RETIRED,71809,46,London,EC1A 1BB,Motor Vehicle,New,27000.00,14526.00,0.8137,0.5357,Toyota,Corolla,2023,49,WVW762468674219,Hybrid
AUTO-0007,OBL-AUTO-0007,2026-01-31,2021-06-28,2026-06-28,60,HP,35681.86,2973.49,8.50,Fixed,3318.14,0.00,615.76,Monthly,Vehicle Purchase,Dealer,GBP,Arrears,54,1108.37,,0.00,0.00,0.00,Stage 2,C2,691,0.1554,0.4866,2973.49,PART_TIME,50490,67,South East,GU1 1AA,Motor Vehicle,New,39000.00,11700.00,0.9149,0.2541,Audi,A4,2021,65,WVW751867059994,Diesel
AUTO-0008,OBL-AUTO-0008,2026-01-31,2025-05-28,2029-05-28,48,PCP,12849.15,11620.94,11.43,Fixed,2932.85,5479.89,264.22,Monthly,Vehicle Purchase,Broker,GBP,Performing,0,0.00,,0.00,0.00,0.00,Stage 1,B2,770,0.0297,0.4309,11620.94,PART_TIME,61990,39,North West,M1 4WX,Motor Vehicle,Used,15782.00,14014.42,0.8142,0.8292,Mercedes-Benz,A-Class,2025,39210,WVW217789737433,Petrol
AUTO-0009,OBL-AUTO-0009,2026-01-31,2022-10-28,2027-10-28,60,HP,21636.94,7572.93,15.19,Fixed,5363.06,0.00,456.48,Monthly,Vehicle Purchase,Direct,GBP,Arrears,51,776.02,,0.00,0.00,0.00,Stage 2,B3,609,0.1603,0.4339,7572.93,EMPLOYED,52905,22,Scotland,EH1 1AA,Motor Vehicle,New,27000.00,12258.00,0.8014,0.6178,Toyota,Corolla,2022,130,WVW248086537676,Hybrid
AUTO-0010,OBL-AUTO-0010,2026-01-31,2025-07-28,2028-07-28,36,PCP,14036.42,12790.05,9.87,Fixed,2746.58,6558.22,312.93,Monthly,Vehicle Purchase,Online,GBP,Performing,0,0.00,,0.00,0.00,0.00,Stage 1,A2,940,0.0272,0.3913,12790.05,EMPLOYED,44130,46,West Midlands,B1 1AA,Motor Vehicle,Used,16783.00,15373.23,0.8363,0.8320,Kia,Sportage,2025,8370,WVW319648437024,Hybrid
