Loan Identifier,Payment Date,Scheduled Interest Payment,Scheduled Principal Payment,Actual Interest Paid,Actual Principal Paid,Arrears Balance,Data Cut Off Date
UCL-0001,2026-01-31,68.81,166.67,68.81,166.67,0.00,2026-01-31
UCL-0002,2026-01-31,21.94,62.50,21.94,62.50,0.00,2026-01-31
UCL-0003,2026-01-31,24.73,125.00,24.73,125.00,0.00,2026-01-31
UCL-0004,2026-01-31,114.69,260.42,0.00,0.00,2050.60,2026-01-31
UCL-0005,2026-01-31,424.62,416.67,424.62,416.67,0.00,2026-01-31
UCL-0006,2026-01-31,64.92,156.25,64.92,156.25,0.00,2026-01-31
UCL-0007,2026-01-31,185.39,312.50,185.39,312.50,0.00,2026-01-31
UCL-0008,2026-01-31,37.95,125.00,37.95,125.00,0.00,2026-01-31
UCL-0009,2026-01-31,3.84,208.34,3.84,208.34,0.00,2026-01-31
UCL-0010,2026-01-31,225.09,416.66,143.91,266.39,1647.16,2026-01-31
UCL-0011,2026-01-31,55.17,520.84,30.80,290.79,422.41,2026-01-31
UCL-0012,2026-01-31,45.93,156.25,24.69,83.99,343.71,2026-01-31
UCL-0013,2026-01-31,72.00,166.66,72.00,166.66,0.00,2026-01-31
UCL-0014,2026-01-31,39.38,62.50,26.41,41.92,20.38,2026-01-31
UCL-0015,2026-01-31,109.62,520.83,109.62,520.83,0.00,2026-01-31
UCL-0016,2026-01-31,77.03,1041.67,77.03,1041.67,0.00,2026-01-31
UCL-0017,2026-01-31,38.76,208.33,0.00,0.00,1144.85,2026-01-31
UCL-0018,2026-01-31,24.90,83.33,24.90,83.33,0.00,2026-01-31
UCL-0019,2026-01-31,197.85,208.33,197.85,208.33,0.00,2026-01-31
UCL-0020,2026-01-31,234.84,1250.00,234.84,1250.00,0.00,2026-01-31
UCL-0021,2026-01-31,25.14,83.33,25.14,83.33,0.00,2026-01-31
UCL-0022,2026-01-31,74.81,416.67,74.81,416.67,0.00,2026-01-31
UCL-0023,2026-01-31,16.69,62.50,0.00,0.00,461.94,2026-01-31
UCL-0024,2026-01-31,123.73,260.42,123.73,260.42,0.00,2026-01-31
UCL-0025,2026-01-31,126.53,333.34,126.53,333.34,0.00,2026-01-31
UCL-0026,2026-01-31,22.89,250.00,0.00,0.00,1191.62,2026-01-31
