Loan Identifier,Original Obligor Identifier,Data Cut Off Date,Origination Date,Maturity Date,Original Term,Product Type,Secured / Unsecured,Original Principal Balance,Current Principal Balance,Current Interest Rate,Interest Rate Type,Monthly Instalment,Payment Frequency,Purpose,Origination Channel,Currency,Account Status,Days Past Due,Arrears Balance,Default Date,Default Amount,Allocated Losses,Cumulative Recoveries,IFRS9 Stage,Internal Risk Grade,Credit Score,Probability of Default,Loss Given Default,Exposure at Default,Employment Status,Primary Income,Borrower Age,Geographic Region - Obligor,Postcode,Debt To Income Ratio,Number of Dependents,Residential Status,Affordability Assessment Result
UCL-0001,OBL-UCL-0001,2026-01-31,2024-02-28,2029-02-28,60,Retail Finance,Unsecured,10000.00,6166.67,13.39,Fixed,235.48,Monthly,Debt Consolidation,Online,GBP,Current,0,0.00,,0.00,0.00,0.00,Stage 1,A1,912,0.0101,0.8586,6166.67,EMPLOYED,42535,30,West Midlands,B1 1AA,0.492,2,Homeowner,Pass
UCL-0002,OBL-UCL-0002,2026-01-31,2023-10-28,2027-10-28,48,Debt Consolidation Loan,Unsecured,3000.00,1312.50,20.06,Fixed,84.44,Monthly,Debt Consolidation,Online,GBP,Current,0,0.00,,0.00,0.00,0.00,Stage 1,B1,849,0.0065,0.8019,1312.50,EMPLOYED,18867,50,South West,BS1 1AA,0.335,0,Tenant,Pass
UCL-0003,OBL-UCL-0003,2026-01-31,2022-03-28,2027-03-28,60,Retail Finance,Unsecured,7500.00,1750.00,16.96,Fixed,149.73,Monthly,Wedding,Branch,GBP,Current,0,0.00,,0.00,0.00,0.00,Stage 1,A1,722,0.0210,0.8951,1750.00,SELF_EMPLOYED,39977,34,South West,BS1 1AA,0.290,2,Tenant,Pass
UCL-0004,OBL-UCL-0004,2026-01-31,2025-06-28,2029-06-28,48,Debt Consolidation Loan,Unsecured,12500.00,10677.08,12.89,Fixed,375.11,Monthly,Debt Consolidation,Branch,GBP,Charged Off,164,2050.60,2025-07-28,10677.08,10135.75,862.03,Stage 3,D1,322,0.6065,0.9493,10677.08,SELF_EMPLOYED,31087,61,South East,GU1 1AA,0.540,0,Living with family,Pass
UCL-0005,OBL-UCL-0005,2026-01-31,2025-01-28,2029-01-28,48,Retail Finance,Unsecured,20000.00,15000.00,33.97,Fixed,841.29,Monthly,Wedding,Online,GBP,Current,0,0.00,,0.00,0.00,0.00,Stage 1,A2,735,0.0075,0.7302,15000.00,EMPLOYED,56402,62,North East,NE1 1AA,0.496,3,Homeowner,Pass
UCL-0006,OBL-UCL-0006,2026-01-31,2025-03-28,2029-03-28,48,Retail Finance,Unsecured,7500.00,5937.50,13.12,Fixed,221.17,Monthly,Debt Consolidation,Online,GBP,Current,0,0.00,,0.00,0.00,0.00,Stage 1,A2,723,0.0237,0.7184,5937.50,EMPLOYED,40135,70,North East,NE1 1AA,0.194,4,Homeowner,Refer
UCL-0007,OBL-UCL-0007,2026-01-31,2024-12-28,2028-12-28,48,Retail Finance,Unsecured,15000.00,10937.50,20.34,Fixed,497.89,Monthly,Holiday,Price Comparison,GBP,Current,0,0.00,,0.00,0.00,0.00,Stage 1,A2,881,0.0268,0.7504,10937.50,RETIRED,52383,36,South West,BS1 1AA,0.395,4,Living with family,Pass
UCL-0008,OBL-UCL-0008,2026-01-31,2025-01-28,2027-01-28,24,Retail Finance,Unsecured,3000.00,1500.00,30.36,Fixed,162.95,Monthly,Wedding,Broker,GBP,Current,0,0.00,,0.00,0.00,0.00,Stage 1,A2,928,0.0263,0.7735,1500.00,EMPLOYED,56309,68,London,EC1A 1BB,0.316,3,Homeowner,Pass
UCL-0009,OBL-UCL-0009,2026-01-31,2024-03-28,2026-03-28,24,Debt Consolidation Loan,Unsecured,5000.00,416.67,11.07,Fixed,212.18,Monthly,Other,Price Comparison,GBP,Current,0,0.00,,0.00,0.00,0.00,Stage 1,A3,833,0.0234,0.8553,416.67,EMPLOYED,22588,39,East of England,CB1 1AA,0.451,3,Living with family,Pass
UCL-0010,OBL-UCL-0010,2026-01-31,2024-02-28,2028-02-28,48,Debt Consolidation Loan,Unsecured,20000.00,10416.67,25.93,Fixed,641.75,Monthly,Other,Price Comparison,GBP,Delinquent,77,1647.16,,0.00,0.00,0.00,Stage 2,C1,651,0.1417,0.8938,10416.67,EMPLOYED,18399,20,West Midlands,B1 1AA,0.514,1,Living with family,Pass
UCL-0011,OBL-UCL-0011,2026-01-31,2022-09-28,2026-09-28,48,Personal Loan,Unsecured,25000.00,4166.67,15.89,Fixed,576.01,Monthly,Debt Consolidation,Price Comparison,GBP,Delinquent,22,422.41,,0.00,0.00,0.00,Stage 1,B2,746,0.0259,0.8640,4166.67,RETIRED,52617,58,West Midlands,B1 1AA,0.384,2,Tenant,Refer
UCL-0012,OBL-UCL-0012,2026-01-31,2024-08-28,2028-08-28,48,Retail Finance,Unsecured,7500.00,4843.75,11.38,Fixed,202.18,Monthly,Home Improvement,Branch,GBP,Delinquent,51,343.71,,0.00,0.00,0.00,Stage 2,B3,616,0.0734,0.8837,4843.75,SELF_EMPLOYED,52289,61,South West,BS1 1AA,0.460,2,Living with family,Pass
UCL-0013,OBL-UCL-0013,2026-01-31,2024-02-28,2029-02-28,60,Personal Loan,Unsecured,10000.00,6166.67,14.01,Fixed,238.66,Monthly,Car Purchase,Online,GBP,Current,0,0.00,,0.00,0.00,0.00,Stage 1,A2,855,0.0228,0.7544,6166.67,SELF_EMPLOYED,50816,67,Wales,CF10 1AA,0.296,3,Tenant,Pass
UCL-0014,OBL-UCL-0014,2026-01-31,2024-10-28,2028-10-28,48,Retail Finance,Unsecured,3000.00,2062.50,22.91,Fixed,101.88,Monthly,Wedding,Branch,GBP,Delinquent,6,20.38,,0.00,0.00,0.00,Stage 1,A1,749,0.0225,0.8184,2062.50,EMPLOYED,27123,27,Wales,CF10 1AA,0.262,2,Homeowner,Pass
UCL-0015,OBL-UCL-0015,2026-01-31,2025-11-28,2027-11-28,24,Debt Consolidation Loan,Unsecured,12500.00,11458.33,11.48,Fixed,630.45,Monthly,Debt Consolidation,Price Comparison,GBP,Current,0,0.00,,0.00,0.00,0.00,Stage 1,B1,726,0.0119,0.8326,11458.33,EMPLOYED,41308,59,Yorkshire,LS1 2AB,0.182,0,Homeowner,Pass
UCL-0016,OBL-UCL-0016,2026-01-31,2025-04-28,2026-04-28,12,Retail Finance,Unsecured,12500.00,3125.00,29.58,Fixed,1118.70,Monthly,Home Improvement,Online,GBP,Current,0,0.00,,0.00,0.00,0.00,Stage 1,B2,959,0.0133,0.7292,3125.00,PART_TIME,27511,22,London,EC1A 1BB,0.441,0,Homeowner,Refer
UCL-0017,OBL-UCL-0017,2026-01-31,2024-08-28,2026-08-28,24,Personal Loan,Unsecured,5000.00,1458.33,31.89,Fixed,247.09,Monthly,Medical,Branch,GBP,Charged Off,139,1144.85,2025-08-28,1458.33,1281.43,80.79,Stage 3,D2,544,0.9239,0.8787,1458.33,SELF_EMPLOYED,30660,25,North East,NE1 1AA,0.195,4,Homeowner,Pass
